,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,CC_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2003-01-07,94045,8489,19063,63973,57451,073732,"COCOA - COFFEE,SUGAR AND COCOA EXCHANGE ",2189.0,-0.06934977936094423,6522,,-10574,,,,,-0.05710370031978074,
2003-01-14,97076,9506,18145,65755,59536,073732,"COCOA - COFFEE,SUGAR AND COCOA EXCHANGE ",2064.0,-0.06406320820800197,6219,-0.32218618746344835,-8639,2.0575256526131107,0.030864148262844098,0.06997938591732668,-0.05710370031978074,0.04408914728682167,
2003-01-21,97042,9710,17964,65002,59779,073732,"COCOA - COFFEE,SUGAR AND COCOA EXCHANGE ",2155.0,-0.053822056429174994,5223,-1.0260002472289753,-8254,0.39659648110758583,0.007981984436733156,0.013911975139119752,0.04408914728682167,0.06774941995359618,
2003-01-28,97138,11419,19741,64256,59153,073732,"COCOA - COFFEE,SUGAR AND COCOA EXCHANGE ",2301.0,-0.05253350902839259,5103,-0.12365779765462377,-8322,-0.07007275200428681,0.011117503585638,0.11187419768934531,0.06774941995359618,0.04259017818339861,
2003-02-04,101730,16408,29030,65843,57101,073732,"COCOA - COFFEE,SUGAR AND COCOA EXCHANGE ",2399.0,-0.08593335299321735,8742,3.746216722600836,-12622,-4.426691922831435,0.029598841749089017,0.3142303798582684,0.04259017818339861,-0.04293455606502705,
2003-02-11,93226,14531,24906,64327,56492,073732,"COCOA - COFFEE,SUGAR AND COCOA EXCHANGE ",2296.0,-0.08404307811125651,7835,-0.8915757397031358,-10375,2.208787968150988,0.017588293232024765,0.15216674696351143,-0.04293455606502705,-0.132404181184669,
2003-02-25,85318,6871,22653,67061,52077,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",1992.0,-0.1756253076724724,14984,7.668461587969022,-15782,-5.799884152489649,0.06000604341184173,0.33576073702750303,-0.132404181184669,0.011546184738955745,
2003-03-04,82718,4983,23446,67866,49673,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",2015.0,-0.21994003723494282,18193,3.7612227197074475,-18463,-3.1423615180852806,0.027301576498013427,0.09430511097822646,0.011546184738955745,0.017369727047146455,
2003-03-11,82894,4268,23527,68742,49512,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",2050.0,-0.23198301445219197,19230,1.2536570033124592,-19259,-0.9623056650305859,0.008769259390802848,0.028638244288541104,0.017369727047146455,0.0019512195121951237,
2003-03-18,82814,3869,24666,69807,49778,073732,"COCOA - COFFEE, SUGAR AND COCOA EXCHANGE ",2054.0,-0.24185524186731713,20029,0.9638815837093155,-20797,-1.8553815716457163,0.011130158464690388,0.053898720869108116,0.0019512195121951237,-0.05598831548198635,
