,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,CT_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2003-01-07,80764,32243,3761,30180,67047,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,51.16999816894531,0.4564781338219999,-36867,,28482,,,,,0.0025405720689302136,
2003-01-14,85987,34553,3893,30599,69412,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,51.29999923706055,0.4513821856792306,-38813,-2.4094893764548564,30660,2.6967460749839036,0.02783693793682695,0.06351766113509857,0.0025405720689302136,-0.026120861062700285,
2003-01-21,84554,31007,3844,32421,66753,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,49.959999084472656,0.40603637911866974,-34332,5.211252863804994,27163,-4.066893832788677,0.045183213342206624,0.1031534245789217,-0.026120861062700285,0.00800643581283067,
2003-01-28,82276,27233,4182,34477,64305,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,50.36000061035156,0.3625358549273178,-29828,5.326773422901341,23051,-4.863164368332663,0.04559535137980604,0.1308928855642209,0.00800643581283067,0.03216836600974493,
2003-02-04,90039,34909,4825,32413,69900,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,51.97999954223633,0.4163418074389987,-37487,-9.308911468715058,30084,8.548057756818514,0.07485852237741049,0.20936729249509237,0.03216836600974493,0.024817255230622948,
2003-02-11,91631,37800,3616,32543,74292,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,53.27000045776367,0.4556209143193897,-41749,-4.733504370328413,34184,4.553582336543053,0.042326952777647774,0.09899555727255167,0.024817255230622948,-0.08766664057653428,
2003-02-25,88952,40899,3427,28372,73466,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,48.59999847412109,0.5069475672272686,-45094,-3.6505112898473224,37472,3.5883052678678613,0.04906812781083682,0.07417768352659838,-0.08766664057653428,0.001028869410035993,
2003-03-04,91838,41582,4066,28875,74652,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,48.650001525878906,0.49845379908099047,-45777,-0.7678298408130227,37516,0.049464879935245974,0.016314584601118547,0.028960743077462322,0.001028869410035993,0.19342239573017372,
2003-03-11,92732,41054,4111,29302,74244,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,58.060001373291016,0.4846439201138765,-44942,0.9092096953330865,36943,-0.6239247370369564,0.008064048828539972,0.012686815011624044,0.19342239573017372,0.025318590617224856,
2003-03-18,94492,44997,5326,28236,74790,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,59.52999877929688,0.49267662870930873,-46554,-1.7383427511538627,39671,2.9418108096449984,0.015646535825908022,0.10249786379985296,0.025318590617224856,-0.0349403335966606,
2003-03-25,90759,41694,6026,28935,71339,033661,COTTON NO. 2 - NEW YORK COTTON EXCHANGE ,57.45000076293945,0.4672153725801298,-42404,4.391906193116878,35668,-4.2363374677221355,0.04138660071404352,0.08388516345347863,-0.0349403335966606,0.004699746809017302,
