,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,GC_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2003-01-07,215299,93664,30101,40513,149899,088691,GOLD - COMMODITY EXCHANGE INC. ,347.29998779296875,0.5080655274757431,-109386,,63563,,,,,0.013533004239070223,
2003-01-14,214684,93046,32384,38005,142982,088691,GOLD - COMMODITY EXCHANGE INC. ,352.0,0.4889838087607833,-104977,2.0478497345552,60662,-1.3474284599556896,0.052075563438258,0.02312843817268596,0.013533004239070223,0.015056783502752191,
2003-01-21,218286,95013,33331,35901,144173,088691,GOLD - COMMODITY EXCHANGE INC. ,357.29998779296875,0.4960098219766728,-108272,-1.5348139591213132,61682,0.4751169160254141,0.01829803303086509,0.022704606370379604,0.015056783502752191,0.035544395860405364,
2003-01-28,229819,91912,35045,36327,149177,088691,GOLD - COMMODITY EXCHANGE INC. ,370.0,0.49103859994169324,-112850,-2.0972485638107807,56867,-2.2058217201286383,0.029271606003105053,0.03792622699024079,0.035544395860405364,0.024324324324324298,
2003-02-04,241161,105154,38340,35779,162286,088691,GOLD - COMMODITY EXCHANGE INC. ,379.0,0.5245748690708697,-126507,-5.942502578115821,66814,4.328188705024389,0.06895211168050892,0.11524523673463699,0.024324324324324298,-0.04353562005277045,
2003-02-11,216608,89620,39511,45786,140146,088691,GOLD - COMMODITY EXCHANGE INC. ,362.5,0.43562564632885215,-94360,13.330098979519905,50109,-6.926907750423991,0.172896542822107,0.12936475362229055,-0.04353562005277045,-0.02813796470905172,
2003-02-25,196138,60864,33899,57629,126289,088691,GOLD - COMMODITY EXCHANGE INC. ,352.29998779296875,0.35005965187775956,-68660,11.86475107105924,26965,-10.684739252474516,0.1397361867788906,0.3626731952344269,-0.02813796470905172,0.0025547103186145392,
2003-03-04,189928,60149,29173,56069,127232,088691,GOLD - COMMODITY EXCHANGE INC. ,353.20001220703125,0.37468409081336085,-71163,-1.2761423079668397,30976,2.0449887324230898,0.013655135542086513,0.06091444436980811,0.0025547103186145392,-0.007644428408027926,
2003-03-11,193841,62022,28473,56078,130668,088691,GOLD - COMMODITY EXCHANGE INC. ,350.5,0.38479991333102903,-74590,-1.8043679710205973,33549,1.3547238953708773,0.018447516948154177,0.028432510083430024,-0.007644428408027926,-0.03680454749353601,
2003-03-18,189983,51897,30476,65053,121895,088691,GOLD - COMMODITY EXCHANGE INC. ,337.6000061035156,0.2991951911486817,-56842,9.155957717923453,21421,-6.256674284594074,0.09493549008280378,0.14723270974712588,-0.03680454749353601,-0.027251220499712625,
2003-03-25,182966,45220,15690,73435,130380,088691,GOLD - COMMODITY EXCHANGE INC. ,328.3999938964844,0.31123268804040094,-56945,-0.05421537716532532,29530,4.268276635277894,0.08275642126438192,0.35237235265145295,-0.027251220499712625,0.01796587699798846,
2003-04-01,171558,40659,16292,69948,119919,088691,GOLD - COMMODITY EXCHANGE INC. ,334.29998779296875,0.29127758542300564,-49971,3.811637134768208,24367,-2.8218357509045395,0.07346194968056587,0.09065688047619884,0.01796587699798846,-0.03619496269150624,
2003-04-08,173293,45496,19799,66333,118940,088691,GOLD - COMMODITY EXCHANGE INC. ,322.20001220703125,0.30357256207694483,-52607,-1.5365066041805104,25697,0.7752480210774199,0.024795841811812838,0.12778926410904357,-0.03619496269150624,0.008379831120919556,
2003-04-15,180817,47667,26362,67965,116587,088691,GOLD - COMMODITY EXCHANGE INC. ,324.8999938964844,0.2689017072509775,-48622,2.299573554615593,21305,-2.534435897583861,0.021592830205037064,0.11798079131151305,0.008379831120919556,0.029239766631164565,
2003-04-22,177869,50301,25224,62217,114835,088691,GOLD - COMMODITY EXCHANGE INC. ,334.3999938964844,0.29582445507648886,-52618,-2.209969195374329,25077,2.0860870382762684,0.04236043648193751,0.04994372724263489,0.029239766631164565,-0.002093246717192798,
2003-04-29,176123,49345,24578,61323,114157,088691,GOLD - COMMODITY EXCHANGE INC. ,333.70001220703125,0.2999835342345974,-52834,-0.121437687286711,24767,-0.17428556971703896,0.008958285844540689,0.021671198409155473,-0.002093246717192798,0.026370954363373444,
2003-05-06,178933,53877,14586,59479,129288,088691,GOLD - COMMODITY EXCHANGE INC. ,342.5,0.3901404436297385,-69809,-9.638150610652781,39291,8.246509541627159,0.08992567556829319,0.2121437856944627,0.026370954363373444,0.021897810218978186,
2003-05-13,183957,58093,15673,57917,131631,088691,GOLD - COMMODITY EXCHANGE INC. ,350.0,0.40071321015237255,-73714,-2.1823811147189174,42420,1.7486992337914193,0.020601641800493807,0.0718894883821815,0.021897810218978186,0.046571393694196495,
2003-05-20,196238,79694,13953,45003,143069,088691,GOLD - COMMODITY EXCHANGE INC. ,366.2999877929688,0.49972991979127385,-98066,-13.237876242817615,65741,12.677419179482161,0.12948232591773362,0.24903093532093928,0.046571393694196495,0.004095004231471133,
2003-05-27,206318,78295,9546,44032,141663,088691,GOLD - COMMODITY EXCHANGE INC. ,367.7999877929688,0.4732064095231633,-97631,0.22166960527522703,68749,1.5328325808457077,0.012800560058159886,0.06609669744196901,0.004095004231471133,-0.007068993127321677,
2003-06-03,205219,94155,9108,47320,160932,088691,GOLD - COMMODITY EXCHANGE INC. ,365.2000122070313,0.5536134568436646,-113612,-7.745809866322862,85047,7.899456179296038,0.10831588652209823,0.1578300068756476,-0.007068993127321677,-0.035596931997445735,
2003-06-10,201381,79118,13519,51645,145025,088691,GOLD - COMMODITY EXCHANGE INC. ,352.20001220703125,0.4636981641763622,-93380,9.858736276855456,65599,-9.47670537328415,0.10287283266385315,0.2099377138724268,-0.035596931997445735,0.03123225331841839,
2003-06-17,199642,81499,17324,51869,146075,088691,GOLD - COMMODITY EXCHANGE INC. ,363.2000122070313,0.4718746556335841,-94206,-0.4101677914003804,64175,-0.7071173546660311,0.006436163763488664,0.06259676391123524,0.03123225331841839,-0.04653090265985238,
2003-06-24,192790,65690,16806,59389,136408,088691,GOLD - COMMODITY EXCHANGE INC. ,346.29998779296875,0.399496861870429,-77019,8.608909948808368,48884,-7.659209985874716,0.08777969018932874,0.1979126260667184,-0.04653090265985238,0.014727133362085532,
2003-07-01,187164,59522,14308,60916,132919,088691,GOLD - COMMODITY EXCHANGE INC. ,351.3999938964844,0.38470539206257615,-72003,2.601794698895171,45214,-1.9036257067275273,0.025877679469652023,0.1173777597182717,0.014727133362085532,-0.02077401229300868,
2003-07-08,187327,56977,15649,63710,132545,088691,GOLD - COMMODITY EXCHANGE INC. ,344.1000061035156,0.36745904220961206,-68835,1.6926331986920562,41328,-2.076253980466329,0.016142263891365825,0.053507008509349266,-0.02077401229300868,-0.0058122637736842675,0.4049410464892552
2003-07-15,186983,51045,23530,66125,119797,088691,GOLD - COMMODITY EXCHANGE INC. ,342.1000061035156,0.28704213752052327,-53672,8.094401768031304,27515,-7.373736834519316,0.08155570615634514,0.18522292993630574,-0.0058122637736842675,0.02484653565726047,0.4005744202311541
2003-07-22,192848,60068,20659,62487,130912,088691,GOLD - COMMODITY EXCHANGE INC. ,350.6000061035156,0.35481311706629054,-68425,-7.8900220875694576,39409,6.3610060807667015,0.07628271087234163,0.1473360833426239,0.02484653565726047,0.03166002826662351,0.3989400879752661
2003-07-29,238119,93311,17864,57122,167454,088691,GOLD - COMMODITY EXCHANGE INC. ,361.7000122070313,0.4633481578538462,-110332,-21.730585746287232,75447,18.687256284742386,0.18660498005129666,0.32415561052394876,0.03166002826662351,-0.0334531537051479,0.4011610559021137
2003-08-05,200599,75623,17812,52412,145598,088691,GOLD - COMMODITY EXCHANGE INC. ,349.6000061035156,0.4645387065738114,-93186,7.2006013799822775,57811,-7.406380843191849,0.13416494116458766,0.1898646117621876,-0.0334531537051479,0.02545764800086725,0.40327364425783696
2003-08-12,209187,84578,18065,49254,151016,088691,GOLD - COMMODITY EXCHANGE INC. ,358.5,0.4864642640317037,-101762,-4.275195788613104,66513,4.338007667037223,0.04282219004344135,0.08970899135839755,0.02545764800086725,0.008647157889862367,0.4059572126376391
2003-08-19,229142,104223,14225,48481,174211,088691,GOLD - COMMODITY EXCHANGE INC. ,361.6000061035156,0.548699059971546,-125730,-11.457690965499769,89998,11.226797076300153,0.10762847340721714,0.19827265973254085,0.008647157889862367,0.011614993414161834,0.4104178953668237
2003-08-26,243009,117340,17113,47524,184612,088691,GOLD - COMMODITY EXCHANGE INC. ,365.7999877929688,0.5641272545461279,-137088,-4.9567517085475385,100227,4.464044129840885,0.04892821449495124,0.11903787940767406,0.011614993414161834,0.020229701096246888,0.41507575473589353
2003-09-02,274981,146230,23383,45994,209840,088691,GOLD - COMMODITY EXCHANGE INC. ,373.2000122070313,0.5958448038228096,-163846,-11.011114814677645,122847,9.30829722355962,0.10459125839411493,0.20729543136434117,0.020229701096246888,0.02277599068052716,0.42039249147374397
2003-09-09,283325,151530,36438,46865,204805,088691,GOLD - COMMODITY EXCHANGE INC. ,381.7000122070313,0.557451689755581,-157940,2.14778475603769,115092,-2.8201948498259877,0.023467238844518616,0.09764959993190331,0.02277599068052716,-0.021482871220301902,0.42430846856751075
2003-09-16,283175,144818,39002,52270,200273,088691,GOLD - COMMODITY EXCHANGE INC. ,373.5,0.522655601659751,-148003,3.507279625871349,105816,-3.2739786464307774,0.03934775463980392,0.050462408878250466,-0.021482871220301902,0.033199448183358404,0.4270403333756285
2003-09-23,291738,146587,38919,53760,204257,088691,GOLD - COMMODITY EXCHANGE INC. ,385.8999938964844,0.5158635488006362,-150497,-0.880727465348283,107668,0.6540125364174098,0.021215656332722262,0.009983504576671375,0.033199448183358404,-0.0012956724744963566,0.4294409608195477
2003-09-30,277922,136571,41383,56237,193254,088691,GOLD - COMMODITY EXCHANGE INC. ,385.3999938964844,0.4930052316837098,-137017,4.6205842228300735,95188,-4.277810912531107,0.05403000509036398,0.07013048315856907,-0.0012956724744963566,-0.02127654857113337,0.4311137047896572
2003-10-07,255935,110811,30046,66122,182162,088691,GOLD - COMMODITY EXCHANGE INC. ,377.2000122070313,0.45339637017211404,-116040,7.547801181626499,80765,-5.189585567173523,0.08448792511801002,0.2633663928665242,-0.02127654857113337,-0.003976670072790678,0.4316850551840791
2003-10-14,246133,108615,31723,60855,174060,088691,GOLD - COMMODITY EXCHANGE INC. ,375.7000122070313,0.4599342631829133,-113205,1.1077031277472795,76892,-1.513274854943638,0.05690994615073537,0.02759765708503755,-0.003976670072790678,0.015970188461675194,0.43239128538405003
2003-10-21,252897,115942,35078,58549,177380,088691,GOLD - COMMODITY EXCHANGE INC. ,381.7000122070313,0.46987904166518385,-118831,-2.2857560749675985,80864,1.6137616654410418,0.023846157106587152,0.07073235333068467,0.015970188461675194,0.003929787665782003,0.4333056209031021
2003-10-28,261514,126193,35580,55341,183200,088691,GOLD - COMMODITY EXCHANGE INC. ,383.2000122070313,0.48891837530686694,-127859,-3.569832777771188,90613,3.8549290818001007,0.037846743327142926,0.0664696828271714,0.003929787665782003,-0.008611738531897672,0.4346297341031917
2003-11-04,262696,119702,35092,60871,184866,088691,GOLD - COMMODITY EXCHANGE INC. ,379.8999938964844,0.4720094710235405,-123995,1.4775499590844086,84610,-2.2954794007204202,0.02928333950524341,0.0450857268369575,-0.008611738531897672,0.021584660012565315,0.4354990303106417
2003-11-11,270895,124456,41878,63501,186704,088691,GOLD - COMMODITY EXCHANGE INC. ,388.1000061035156,0.45479983019251,-123203,0.30148917379785,82578,-0.7735176782288272,0.017857356967286825,0.06937847944497216,0.021584660012565315,0.02447822687605461,0.4359376848534114
2003-11-18,285620,136229,43069,60181,194784,088691,GOLD - COMMODITY EXCHANGE INC. ,397.6000061035156,0.47126601778586935,-134603,-4.208272577936101,93160,3.9063105631333173,0.04471201929676622,0.07230420863590224,0.02447822687605461,-0.016348088280229378,0.43672275891857715
2003-11-25,285510,134093,26065,67023,217576,088691,GOLD - COMMODITY EXCHANGE INC. ,391.1000061035156,0.5273125284578474,-150553,-5.584342833134935,108028,5.205517820880891,0.10412545370855134,0.11950698685048515,-0.016348088280229378,0.03221683944484699,0.43869210173464823
2003-12-02,278759,142642,29787,56851,215807,088691,GOLD - COMMODITY EXCHANGE INC. ,403.7000122070313,0.5702273289831001,-158956,-2.943154355364085,112855,1.6906588210570557,0.043794790543464704,0.07116552320085369,0.03221683944484699,0.011146890918824814,0.44149072359099834
2003-12-09,276302,140647,33619,53459,206979,088691,GOLD - COMMODITY EXCHANGE INC. ,408.2000122070313,0.5556239187555646,-153520,1.9500715671960367,107028,-2.0903360967717632,0.04692095623526521,0.033437388819391047,0.011146890918824814,-0.001224889723291822,0.4438684984902601
2003-12-16,278928,148033,31925,49454,211647,088691,GOLD - COMMODITY EXCHANGE INC. ,407.7000122070313,0.5814869787185224,-162193,-3.138956648884192,116108,3.286259238080072,0.033217030957368984,0.05045621756187555,-0.001224889723291822,0.022565566382130253,0.44667703890308175
2003-12-30,278641,146647,34047,48694,208608,088691,GOLD - COMMODITY EXCHANGE INC. ,416.8999938964844,0.5739069268341701,-159914,0.8170567314862617,112600,-1.2576722308265933,0.0147647511484559,0.019414036990713583,0.022565566382130253,0.014152060405041356,0.44922163666170356
2004-01-06,284500,151691,35706,49723,210164,088691,GOLD - COMMODITY EXCHANGE INC. ,422.7999877929688,0.5639402460456941,-160441,-0.18913225261178362,115985,1.2148248104191415,0.00994663065101371,0.03576898242768027,0.014152060405041356,0.002128723841172908,0.45147102115942883
2004-01-13,300273,147745,40513,61098,218408,088691,GOLD - COMMODITY EXCHANGE INC. ,423.7000122070313,0.5238899268332484,-157310,1.1005272407732865,107232,-3.0766256590509666,0.0701916953482215,0.046494704076320795,0.002128723841172908,-0.02596176465207445,0.4528636924223869
2004-01-20,277381,125320,40285,68541,196700,088691,GOLD - COMMODITY EXCHANGE INC. ,412.7000122070313,0.46203236703307005,-128159,9.708165569331909,85035,-7.392273031541298,0.10990382331539995,0.13678934814770086,-0.02596176465207445,-0.00654231191463317,0.45197843933695087
2004-01-27,275490,118100,32044,66120,199090,088691,GOLD - COMMODITY EXCHANGE INC. ,410.0,0.48266724744999817,-132970,-1.7344374704828376,86056,0.36808577371918044,0.018140341616077825,0.10297447783461211,-0.00654231191463317,-0.02634143364138708,0.4518569670040512
2004-02-03,236512,95128,27564,66869,176314,088691,GOLD - COMMODITY EXCHANGE INC. ,399.2000122070313,0.4627460763090245,-109445,8.53932992123126,67564,-6.712403354023739,0.0967378476291517,0.22374726958562904,-0.02634143364138708,0.018036025724666116,0.45121727958736557
2004-02-10,237396,95652,35366,62967,169358,088691,GOLD - COMMODITY EXCHANGE INC. ,406.3999938964844,0.44815835144652816,-106391,1.2912664050872684,60286,-3.077222297388716,0.04673625309372646,0.06354852005068005,0.018036025724666116,0.023622062617355555,0.4503926594239971
2004-02-17,241858,106632,36327,58109,177706,088691,GOLD - COMMODITY EXCHANGE INC. ,416.0,0.49449263617494565,-119597,-5.5628569984329985,70305,4.220374395524777,0.05600152662044399,0.08352744493176366,0.023622062617355555,-0.027644230769230727,0.44981415494522925
2004-02-24,241721,95788,32730,64021,168520,088691,GOLD - COMMODITY EXCHANGE INC. ,404.5,0.4323124594056785,-104499,6.24250593323355,63058,-2.996386309321999,0.06492618505983891,0.11236558303117074,-0.027644230769230727,-0.027194066749072876,0.4497504398120913
2004-03-02,237352,83802,39923,70486,160877,088691,GOLD - COMMODITY EXCHANGE INC. ,393.5,0.38083100205601805,-90391,5.836480901535241,43879,-7.934354069360958,0.06097777086223813,0.15501313396645788,-0.027194066749072876,0.027191898874285414,0.45034219654628865
2004-03-09,230009,95130,34591,58037,164459,088691,GOLD - COMMODITY EXCHANGE INC. ,404.2000122070313,0.4626862427122417,-106422,-6.754103609828441,60539,7.019110856449492,0.07205073349633252,0.12842947556679335,0.027191898874285414,-0.004453286136035461,0.45203454562126716
2004-03-16,245495,98116,35637,65943,176447,088691,GOLD - COMMODITY EXCHANGE INC. ,402.3999938964844,0.45012729383490496,-110504,-1.7747131633979538,62479,0.8434452564899634,0.08207434300094889,0.030145118240338536,-0.004453286136035461,0.043240542148120564,0.45329084140018777
2004-03-23,281839,144353,41842,49762,204617,088691,GOLD - COMMODITY EXCHANGE INC. ,419.7999877929688,0.5494448958447908,-154855,-18.065948389987575,102511,16.30664575653272,0.17435008392988416,0.28165095732968126,0.043240542148120564,0.004526023033139204,0.4581033357212668
2004-03-30,295044,159753,34615,53537,231882,088691,GOLD - COMMODITY EXCHANGE INC. ,421.7000122070313,0.6044691639213134,-178345,-8.334545609372727,125138,8.028342422446858,0.10875239560085348,0.11641319558775107,0.004526023033139204,-0.00663983454942918,0.4637424987189766
2004-04-06,305661,176285,32032,47013,243320,088691,GOLD - COMMODITY EXCHANGE INC. ,418.8999938964844,0.6422376423554199,-196307,-6.087905532734101,144253,6.478694703162918,0.06186689077714211,0.0917591939208034,-0.00663983454942918,-0.05060869419513969,0.47049173058306154
2004-04-20,255395,109438,36162,60461,182891,088691,GOLD - COMMODITY EXCHANGE INC. ,397.7000122070313,0.47937508565163767,-122430,24.169586568126128,73276,-23.22082306869375,0.30358082119727803,0.4874793956043956,-0.05060869419513969,0.0022629969043497233,0.47387254834411335
2004-04-27,246504,98229,40425,68224,169845,088691,GOLD - COMMODITY EXCHANGE INC. ,398.6000061035156,0.4122488884561711,-101621,8.147771099669141,57804,-6.058066915953718,0.08740743229903936,0.11158711613080041,0.0022629969043497233,-0.018063251622634002,0.47662922490575166
2004-05-04,246863,91845,37182,72166,161564,088691,GOLD - COMMODITY EXCHANGE INC. ,391.3999938964844,0.36213608357672067,-89398,4.958540226527764,54663,-1.2742186739363255,0.05229538356222992,0.07461229045083587,-0.018063251622634002,-0.03704650032221235,0.47790444853075614
2004-05-11,254742,86776,48760,83705,153147,088691,GOLD - COMMODITY EXCHANGE INC. ,376.8999938964844,0.27259737302839737,-69442,8.083835973799234,38016,-6.743416388847255,0.0842551466738723,0.12282345649864243,-0.03704650032221235,-0.0029185622746857875,0.477377791584483
2004-05-18,253647,82288,54775,87190,144769,088691,GOLD - COMMODITY EXCHANGE INC. ,375.7999877929688,0.2270044589527966,-57579,4.656868517951496,27513,-4.122995030265916,0.05114265883194875,0.07662899542546128,-0.0029185622746857875,0.03326237468343485,0.4742405611099265
2004-05-25,252665,76713,54504,88917,138156,088691,GOLD - COMMODITY EXCHANGE INC. ,388.2999877929688,0.19487859418597747,-49239,3.2880341577073646,22209,-2.091095104613893,0.03672827680966033,0.04455215406540311,0.03326237468343485,0.016224616298226247,0.47028220311057267
2004-06-01,228721,78293,46310,76601,136960,088691,GOLD - COMMODITY EXCHANGE INC. ,394.6000061035156,0.2638979367876146,-60359,-4.401084439870975,31983,3.8683632477786793,0.06326997906921207,0.0784411290257859,0.016224616298226247,-0.009123178022889422,0.4657469726681947
2004-06-08,225921,78878,48547,74331,134807,088691,GOLD - COMMODITY EXCHANGE INC. ,391.0,0.2676864921808951,-60476,-0.05115402608418117,30331,-0.7222773597527118,0.021148715202402243,0.022146360604277025,-0.009123178022889422,-0.0074168641853820105,0.46179466656545876
2004-06-15,223243,80534,51418,70809,127617,088691,GOLD - COMMODITY EXCHANGE INC. ,388.1000061035156,0.2544671053515676,-56808,1.623576382894906,29116,-0.537798611018896,0.053984860854928284,0.034307930156420516,-0.0074168641853820105,0.01777890695174067,0.45604185211368764
2004-06-22,219524,83340,43442,64397,134977,088691,GOLD - COMMODITY EXCHANGE INC. ,395.0,0.321513820812303,-70580,-6.169062411811345,39898,4.829714705500284,0.06907620853270738,0.0850436181792368,0.01777890695174067,-0.006329113924050667,0.4533075378182249
2004-06-29,226773,86673,46506,68603,140786,088691,GOLD - COMMODITY EXCHANGE INC. ,392.5,0.31830508923019935,-72183,-0.7302162861463894,40167,0.12253785463092874,0.047829637660049,0.048033098311295326,-0.006329113924050667,0.00025479262042193973,0.45035427692585217
2004-07-06,226957,82019,50616,73312,136553,088691,GOLD - COMMODITY EXCHANGE INC. ,392.6000061035156,0.2786474971029754,-63241,3.9431501986568063,31403,-3.864657609151001,0.04260834345889024,0.06607607343461379,0.00025479262042193973,0.023942928554122167,0.44803025068032426
2004-07-13,247735,112049,41615,63996,170313,088691,GOLD - COMMODITY EXCHANGE INC. ,402.0,0.429156154762145,-106317,-18.979806747533672,70434,17.197530809800977,0.18384270343862166,0.25400223865056226,0.023942928554122167,-0.0002487714017801457,0.4488850730399313
2004-07-20,256572,114160,43702,71997,177908,088691,GOLD - COMMODITY EXCHANGE INC. ,401.8999938964844,0.4127925104843865,-105911,0.1638847962540618,70458,0.009687771207136658,0.06240771493167404,0.026592846916927444,-0.0002487714017801457,-0.0370738843562215,0.4497568705067539
2004-07-27,232007,78464,45149,70511,137016,088691,GOLD - COMMODITY EXCHANGE INC. ,387.0,0.2866508338110488,-66505,15.358651762468234,33315,-14.476638136663391,0.20420475408019198,0.30047810505367556,-0.0370738843562215,0.01808785529715773,0.44974934543541784
2004-08-03,217814,81545,47091,71215,134926,088691,GOLD - COMMODITY EXCHANGE INC. ,394.0,0.29250185938461254,-63711,1.204274008973867,34454,0.49093346321447195,0.01355382966028107,0.039048166920613206,0.01808785529715773,0.015228426395939021,0.4485510520184625
2004-08-10,219062,85056,38949,68536,146879,088691,GOLD - COMMODITY EXCHANGE INC. ,400.0,0.3576293469428746,-78343,-6.717658185424261,46107,5.349977503741725,0.06792470347933059,0.09397201725736866,0.015228426395939021,0.010999984741211,0.44651799796248226
2004-08-17,227948,91881,38091,68688,155438,088691,GOLD - COMMODITY EXCHANGE INC. ,404.3999938964844,0.3805692526365662,-86750,-3.8377263057947064,53790,3.5072262647104475,0.03886653043377386,0.059112731973040344,0.010999984741211,-0.003461903851667114,0.4449032007713814
2004-08-24,259849,126481,41720,64326,184274,088691,GOLD - COMMODITY EXCHANGE INC. ,403.0,0.46160654841850457,-119948,-14.563847895133977,84761,13.586870689806446,0.13353982300884956,0.22728164517452334,-0.003461903851667114,0.018362267733211812,0.4444251677788199
2004-08-31,269575,130720,50223,66831,184906,088691,GOLD - COMMODITY EXCHANGE INC. ,410.3999938964844,0.43800426597421865,-118075,0.7208032357253636,80497,-1.6409530150202616,0.012461418067268618,0.07041996650879007,0.018362267733211812,-0.03167641372645591,0.44229642174040973
2004-09-07,256711,111967,49824,72594,171923,088691,GOLD - COMMODITY EXCHANGE INC. ,397.3999938964844,0.38692927065844473,-99329,6.953908930724288,62143,-6.808494853009367,0.07666542612579084,0.11837494050966989,-0.03167641372645591,0.020885803819888693,0.43888876820410816
2004-09-14,249885,101047,46191,76180,170130,088691,GOLD - COMMODITY EXCHANGE INC. ,405.7000122070313,0.3759729475558757,-93950,2.0953523612155305,54856,-2.838600605349985,0.02183833380699119,0.09883997337643814,0.020885803819888693,0.006408615991390976,0.4346604632758979
2004-09-21,256086,108228,43901,76546,179508,088691,GOLD - COMMODITY EXCHANGE INC. ,408.2999877929688,0.4020602453863155,-102962,-3.6064589711267185,64327,3.790143465994358,0.0380544728846259,0.06225637452425244,0.006408615991390976,0.01028658420915951,0.4316721662687967
2004-09-28,266565,124815,42697,69397,191559,088691,GOLD - COMMODITY EXCHANGE INC. ,412.5,0.45828222009641173,-122162,-7.497481314870785,82118,6.947275524628445,0.07357562194392925,0.10620731649075887,0.01028658420915951,0.013818211410985048,0.4304342166233478
2004-10-05,296592,162941,48849,61921,216187,088691,GOLD - COMMODITY EXCHANGE INC. ,418.2000122070313,0.5201286615957275,-154266,-12.043591619304859,114092,11.994823026278768,0.1154371682943317,0.20906558383304216,0.013818211410985048,-0.0074127355643907045,0.4305162380232534
2004-10-12,302197,165529,50392,59577,217073,088691,GOLD - COMMODITY EXCHANGE INC. ,415.1000061035156,0.5211699652875442,-157496,-1.0890381399363436,115137,0.3523358688029347,0.011675402132658594,0.019131997350882963,-0.0074127355643907045,0.012527057607791159,0.4310578675156348
2004-10-19,305225,172649,51735,60297,219891,088691,GOLD - COMMODITY EXCHANGE INC. ,420.2999877929688,0.5228732901957572,-159594,-0.694249115643107,120914,1.911666892788479,0.012627235998686596,0.037716592983456934,0.012527057607791159,0.015465144393965069,0.4323939621314742
2004-10-26,321849,185342,57447,60217,223855,088691,GOLD - COMMODITY EXCHANGE INC. ,426.7999877929688,0.508430972288247,-163638,-1.3249242362191826,127895,2.287165205995577,0.014235827536680842,0.07580656454781724,0.015465144393965069,-0.01593249294155863,0.4333265911527305
2004-11-02,313532,176069,64632,63188,213245,088691,GOLD - COMMODITY EXCHANGE INC. ,420.0,0.4786018652003623,-150057,4.219680657699729,111437,-5.11357810650336,0.04912944547141622,0.06837528718202251,-0.01593249294155863,0.037380981445312544,0.4334943377591763
2004-11-09,342146,187528,69675,69495,231763,088691,GOLD - COMMODITY EXCHANGE INC. ,435.7000122070313,0.47426537209261543,-162268,-3.894658280494495,117853,2.0463620938213642,0.08240445067018967,0.06415943826471697,0.037380981445312544,0.01032820719284655,0.43321254923582525
2004-11-16,362336,196371,73370,73269,239496,088691,GOLD - COMMODITY EXCHANGE INC. ,440.2000122070313,0.4587647928994083,-166227,-1.1571083689419137,123001,1.5046208343806444,0.03679120106149985,0.04648162496617125,0.01032820719284655,0.017264823660120943,0.43295784388728425
2004-11-23,352638,202921,64289,60802,237632,088691,GOLD - COMMODITY EXCHANGE INC. ,447.7999877929688,0.5014490780914138,-176830,-2.9262894109334985,138632,4.313951691247903,0.04802066788636684,0.05849706223569477,0.017264823660120943,0.00781598949399287,0.4338549448084171
2004-11-30,345646,201218,72765,66242,234572,088691,GOLD - COMMODITY EXCHANGE INC. ,451.2999877929688,0.487001151467108,-168330,2.4104038702578845,128453,-2.886529528865295,0.028256663586136283,0.03715194008387382,0.00781598949399287,0.0015511017637170887,0.4341575435330563
2004-12-07,353244,211208,78861,67132,236389,088691,GOLD - COMMODITY EXCHANGE INC. ,452.0,0.47915038896626694,-169257,-0.2681934696192058,132347,1.1265861604068903,0.008918658017072954,0.05545577086831064,0.0015511017637170887,-0.03561948252990188,0.43323134854283357
2004-12-14,316029,160002,72208,84079,206877,088691,GOLD - COMMODITY EXCHANGE INC. ,435.8999938964844,0.3885656063209389,-122798,13.15209883253502,87794,-12.612528450589394,0.15967706457333755,0.24916670255372292,-0.03561948252990188,0.013535200686159099,0.4297378538762535
2004-12-21,319955,162396,72143,84261,210579,088691,GOLD - COMMODITY EXCHANGE INC. ,441.7999877929688,0.3947992686471535,-126318,-1.1138218328064828,90253,0.7780931496793017,0.01317324650657984,0.010484397051236681,0.013535200686159099,0.005658669237382341,0.4266450721433994
2004-12-28,330965,169514,70761,85507,223002,088691,GOLD - COMMODITY EXCHANGE INC. ,444.2999877929688,0.4154366775943076,-137495,-3.493303745839259,98753,2.6566235876920192,0.0443066490766882,0.035376131515971285,0.005658669237382341,-0.03556153100848414,0.42345179712177994
2005-01-04,302298,140471,67228,89301,195043,088691,GOLD - COMMODITY EXCHANGE INC. ,428.5,0.3497939119676611,-105742,9.594065837777409,73243,-7.707763660810056,0.11167107447317334,0.1568423535982359,-0.03556153100848414,-0.015402581338426202,0.41914193145127016
2005-01-11,275461,109497,72710,94433,164780,088691,GOLD - COMMODITY EXCHANGE INC. ,421.8999938964844,0.25537916438261676,-70347,11.70864511177712,36787,-12.059623285632059,0.13654793548163094,0.20008012864489289,-0.015402581338426202,0.00308134233077495,0.413208064496211
