,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,GF_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2003-01-07,13609,4684,3069,3341,3798,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,81.6500015258789,0.0335807186420751,-457,,1615,,,,,-0.02204535233459004,
2003-01-14,13522,3848,2710,3886,3527,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,79.8499984741211,-0.026549327022629788,359,5.996032037622162,1138,-3.5050334337570725,0.11007689194658034,0.18222018908203721,-0.02204535233459004,-0.014715033748486372,
2003-01-21,13545,3729,2983,3825,3290,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,78.67500305175781,-0.03949796973052787,535,1.3015826061233546,746,-2.898979440911108,0.041883345045678144,0.058402860548271755,-0.014715033748486372,-0.0015888146825716598,
2003-01-28,13226,3178,2966,4049,2799,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,78.55000305175781,-0.09451081203689703,1250,5.278700627537837,212,-3.9424141749723147,0.10441004672897196,0.09244791666666667,-0.0015888146825716598,0.006683563031034456,
2003-02-04,12727,3354,2530,3772,2724,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,79.07499694824219,-0.08234462167046437,1048,-1.5272947225162559,824,4.627249357326478,0.054187192118226604,0.10401087695445276,0.006683563031034456,-0.01517542832189589,
2003-02-11,13901,3020,4338,4637,2176,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,77.875,-0.17703762319257607,2461,11.102380765302113,-1318,-16.83036065058537,0.2073976221928666,0.2911117151399837,-0.01517542832189589,-0.012841091492776902,
2003-02-18,14855,2889,4566,5311,2306,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,76.875,-0.2022887916526422,3005,3.91338752607726,-1677,-2.5825480181281923,0.10555336746750689,0.048155600268276325,-0.012841091492776902,0.0013007931592987632,
2003-02-25,14946,3416,4654,5098,1793,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,76.9749984741211,-0.22112939917034657,3305,2.019522046449007,-1238,2.9552339279703803,0.10535481062255116,0.0762081784386617,0.0013007931592987632,-0.01006822398495355,
2003-03-04,15187,3256,5144,5151,1748,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,76.19999694824219,-0.2240732205175479,3403,0.6556938311253847,-1888,-4.348989696239797,0.014204957240179736,0.07738095238095238,-0.01006822398495355,-0.025918616183968957,
2003-03-11,15198,3075,5376,5182,1680,061641,FEEDER CATTLE - CHICAGO MERCANTILE EXCHANGE ,74.2249984741211,-0.23042505592841164,3502,0.6518733127016527,-2301,-2.719431092381642,0.0144272806761877,0.04886995621819903,-0.025918616183968957,0.02930283727140992,
