,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,HG_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2003-01-07,77457,14802,10826,47859,59014,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.7315000295639038,0.1440153891836761,-11155,,3976,,,,,0.033492757078529944,
2003-01-14,78117,22746,7118,41059,65773,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.7559999823570251,0.3163715964514766,-24714,-17.505196431568486,15628,15.043185251171618,0.12691890070390893,0.39016876506830966,0.033492757078529944,0.01190476659774542,
2003-01-21,83902,28894,6959,38147,68594,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.7649999856948853,0.3628876546447045,-30447,-7.338991512730904,21935,8.07378675576379,0.05370944622965871,0.17591275486012328,0.01190476659774542,-0.015686228677704084,
2003-01-28,84623,30367,7005,37857,69076,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.753000020980835,0.36891861550642263,-31219,-0.9201210936568853,23362,1.7007937832232842,0.00721947387616545,0.04064540297548967,-0.015686228677704084,0.03253645698602825,
2003-02-04,87596,34774,6394,34797,72234,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.7774999737739563,0.42738252888259737,-37437,-7.347884144972407,28380,5.929829951667987,0.05809531817884538,0.12189078896230082,0.03253645698602825,-0.0045015882434338295,
2003-02-11,86466,35265,5349,33183,72410,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.7739999890327454,0.4536696504984618,-39227,-2.0434723046714462,29916,1.7535047262432073,0.01695188128000909,0.03781947111833358,-0.0045015882434338295,0.005813994231286923,
2003-02-25,75828,27250,4085,34329,65655,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.7785000205039978,0.4131191644247508,-31326,9.13769574167881,23165,-7.807693197326117,0.07902264362297967,0.2961225466730493,0.005813994231286923,-0.0019267956980224543,
2003-03-04,82299,35810,8348,29191,65948,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.7770000100135803,0.4466275410393808,-36757,-7.162261961280793,27462,5.666772168592077,0.05708489683515698,0.29038905747542915,-0.0019267956980224543,-0.019948531351544174,
2003-03-11,68832,21629,5235,32370,57738,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.7615000009536743,0.36854951185495116,-25368,13.838564259590031,16394,-13.44852306832404,0.1263927731167044,0.6437611673615247,-0.019948531351544174,-0.0013131807277011465,
2003-03-18,67739,20692,6817,33796,55646,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.7605000138282776,0.3225615967168101,-21850,5.110994886099489,13875,-3.659635053463505,0.039332751950985,0.0915700316260133,-0.0013131807277011465,0.009204430447258938,
2003-03-25,71939,23457,5666,34591,59718,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.7674999833106995,0.34928203060926616,-25127,-4.837685823528544,17791,5.781012415299902,0.051606951616494715,0.13446416921333654,0.009204430447258938,-0.05863186718329727,
2003-04-01,80064,20296,19403,47010,52462,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.7225000262260437,0.06809552358113509,-5452,27.349560043926104,893,-23.48934513963219,0.19779435419012387,0.4256530391193733,-0.05863186718329727,-0.002768212848220042,
2003-04-08,83606,18534,24152,52226,51410,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.7204999923706055,-0.009760065067100447,816,7.828737010391687,-5618,-8.13224420463629,0.060480913968119186,0.15253244623529963,-0.002768212848220042,0.017349046788943445,
2003-04-15,85346,17636,25744,54243,51679,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.7329999804496765,-0.0300424155789375,2564,2.0907590364327917,-8108,-2.9782551491519746,0.021581918770415966,0.05739972337482711,0.017349046788943445,-0.01637103006017626,
2003-04-22,87540,17230,27051,56630,52451,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.7210000157356262,-0.04773817683344757,4179,1.8922972371288638,-9821,-2.007123942539779,0.028960130545191188,0.03868476321672952,-0.01637103006017626,0.0034674029975763077,
2003-04-29,89551,17490,29167,58562,52569,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.7235000133514404,-0.06692275909816753,5993,2.0721955677404615,-11677,-2.1201736349097553,0.018446698041050653,0.05092483442998907,0.0034674029975763077,-0.006219808414939965,
2003-05-06,81212,16713,31831,50651,40805,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.718999981880188,-0.12123824065409053,9846,4.302576185637235,-15118,-3.8425031546269723,0.2151307732680196,0.07088414634146341,-0.006219808414939965,0.05702365732451575,
2003-05-13,73710,14272,17190,42513,47978,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.7599999904632568,0.07414190747524081,-5465,-18.85312515391814,-2918,15.022410481209675,0.16919914687648496,0.5429406903566207,0.05702365732451575,0.0,
2003-05-20,77525,22202,14188,38046,54382,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.7599999904632568,0.2107191228635924,-16336,-14.748338081671413,8014,14.831094831094832,0.11761587397758255,0.3004122011541632,0.0,0.019736823530408287,
2003-05-27,80038,26443,13595,35524,57792,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.7749999761581421,0.2782178465229016,-22268,-7.65172524991938,12848,6.235407932924863,0.06356894851901067,0.12073530146360957,0.019736823530408287,0.008387104415496838,
2003-06-03,84207,30717,12937,33792,62105,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.781499981880188,0.3362309546712269,-28313,-7.552662485319474,17780,6.162073015317724,0.06303638278569715,0.11297933751775324,0.008387104415496838,-0.021113239370275982,
2003-06-10,83001,31408,11623,34227,62530,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.7649999856948853,0.34099589161576366,-28303,0.01187549728644887,19785,2.3810372059329987,0.008888245811672541,0.04659431572587205,-0.021113239370275982,0.01895427739300959,
2003-06-17,80520,30095,11552,32931,60672,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.7795000076293945,0.3445230998509687,-27741,0.6771002759002904,18543,-1.496367513644414,0.03369550121256797,0.03323168535548779,0.01895427739300959,-0.016035905011836826,
2003-06-24,80818,30026,11297,34670,62385,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.7670000195503235,0.342931030216041,-27715,0.03229011425732737,18729,0.2309985096870343,0.03556746174849312,0.007840669844880575,-0.016035905011836826,-0.027379435620962678,
2003-07-01,72785,19765,11223,40656,54442,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.7459999918937683,0.1894071580682833,-13786,17.235021901061646,8542,-12.604865252790221,0.1464699573071989,0.3335161998192849,-0.027379435620962678,0.025469160868064167,
2003-07-08,71369,20777,10992,37504,55008,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.7649999856948853,0.24526054729644522,-17504,-5.108195369925122,9785,1.7077694579927183,0.040189380837080596,0.039126192199943344,0.025469160868064167,0.032679785921928106,0.2357002578747059
2003-07-15,82166,35422,11299,31252,64890,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.7900000214576721,0.4093907455638585,-33638,-22.606453782454565,24123,20.089955022488756,0.16781427471864535,0.3200273966738726,0.032679785921928106,-0.02658231276729195,0.24213323890023006
2003-07-22,83451,34723,11218,33092,65209,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.7689999938011169,0.384860576865466,-32117,1.851130637976779,23505,-0.7521359199668963,0.02196315398622598,0.01697829825210596,-0.02658231276729195,0.04421323767239915,0.2472306438275599
2003-07-29,98215,44149,13212,33535,76528,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.8029999732971191,0.4377437255001782,-42993,-13.032797689662198,30937,8.90582497513511,0.10686606761582003,0.19908997402416276,0.04421323767239915,0.004358710413755684,0.2538000604369605
2003-08-05,101260,48720,14103,31092,77704,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.8065000176429749,0.4603199683981829,-46612,-3.6847732016494423,34617,3.7468818408593387,0.03326409059156587,0.0869426802285787,0.004358710413755684,-0.02355857828329022,0.2606840573690013
2003-08-12,94633,43450,12883,31032,70851,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.7875000238418579,0.4207728804962328,-39819,6.708473237211139,30567,-3.999604977286194,0.06785234042970859,0.1152077822945698,-0.02355857828329022,0.01714282513746146,0.2658482129537507
2003-08-19,94011,42072,11748,30167,70813,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.8009999990463257,0.43235366074182807,-40646,-0.8739023385077087,30324,-0.2567814610125432,0.008942364824717766,0.046692679301374954,0.01714282513746146,-0.009363286961763029,0.2710515081971281
2003-08-26,93229,42156,12845,32850,70926,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.7935000061988831,0.40841369101888897,-38076,2.733722649477189,29311,-1.077533480124666,0.026942645698427383,0.021472336866602427,-0.009363286961763029,0.020163796717440396,0.2752139985856663
2003-09-02,84781,44686,12893,25262,66654,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.809499979019165,0.48822259704414905,-41392,-3.556833174226904,31793,2.662261742590825,0.1290308542582358,0.044773268031747686,0.020163796717440396,0.004941331945528038,0.281478957363857
2003-09-09,94004,52607,15455,24788,73333,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.8134999871253967,0.5164141951406324,-48545,-8.437031882143405,37152,6.320991731637984,0.07289978699768652,0.15402133349005317,0.004941331945528038,-0.0036877214796166013,0.2881913927289077
2003-09-16,91181,49736,14742,26185,70650,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.8105000257492065,0.48765641964883033,-44465,4.340240840815284,34994,-2.295646993744947,0.04213352610109981,0.05558485064673222,-0.0036877214796166013,0.011721118811137021,0.2937320879211278
2003-09-23,94529,51711,16560,26348,71661,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.8199999928474426,0.4793555416856203,-45313,-0.9300183152191794,35151,0.1721849946809094,0.011978491771163873,0.05555799680684331,0.011721118811137021,-0.008536548223756157,0.29874893802287084
2003-09-30,90622,48026,14030,26376,69024,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.8130000233650208,0.4706141996424709,-42648,2.81924065630653,33996,-1.2218472638026425,0.027935010482180292,0.10015147608611577,-0.008536548223756157,0.038130329181121025,0.3032717080654919
2003-10-07,101927,58295,18131,24624,78519,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.843999981880188,0.5287607797737597,-53895,-12.4108936019951,40164,6.806294277327801,0.1090427852593002,0.1880250176641457,0.038130329181121025,0.031990533878249794,0.30905347913493464
2003-10-14,109627,67564,19182,24141,85123,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.8709999918937683,0.5562680726463372,-60982,-6.953015393369764,48382,8.062633060916145,0.0648612534778152,0.11896802158024578,0.031990533878249794,0.036739386386942297,0.3152338439727197
2003-10-21,111559,66810,18782,25941,85635,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.902999997138977,0.5350890560152027,-59694,1.1748930464210459,48028,-0.32291315095733714,0.02072130207213021,0.013482568464342462,0.036739386386942297,-0.0016611411906645168,0.3205961662176583
2003-10-28,109796,62701,17523,26137,83105,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.9014999866485596,0.5188531458340924,-56968,2.4435500497494598,45178,-2.5547019962531037,0.02495377235861665,0.06691264459513363,-0.0016611411906645168,0.0604547804710982,0.32531657049424006
2003-11-04,109436,61294,16887,25615,81610,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.9559999704360962,0.5116689206476845,-55995,0.8861889322015374,44407,-0.7022113738205399,0.018810911634413615,0.026131668819789976,0.0604547804710982,-0.012552264733414309,0.3296503460792039
2003-11-11,108854,60237,15988,27028,82116,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.944000005722046,0.5060723537949915,-55088,0.8287949120947402,44249,-0.14437662195255674,0.01758227662537565,0.025660872417185964,-0.012552264733414309,-0.011652518561416692,0.33365993716365366
2003-11-18,102838,51436,16495,28995,73915,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.9330000281333924,0.4368035162099613,-44920,9.340952100979294,34941,-8.550903044444853,0.09880478087649402,0.13702138935095906,-0.011652518561416692,-0.049303325217178506,0.33595201669801605
2003-11-25,90652,41323,15474,32845,67196,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.8870000243186951,0.3789326214534704,-34351,10.27732939185904,25849,-8.84108986950349,0.10564668485920772,0.1960314805359438,-0.049303325217178506,0.09301012250803709,0.33688637767096064
2003-12-02,91716,44855,16190,30370,69002,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.9695000052452089,0.4212133106546295,-38632,-4.722455103031373,28665,3.106384856373825,0.04308054582779858,0.06958800884593333,0.09301012250803709,0.00876738517468012,0.338680567734443
2003-12-09,88432,41973,15852,29528,66184,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,0.977999985218048,0.4145105844038357,-36656,2.1544768633608093,26121,-2.773779929347115,0.038239719157472415,0.05568525724167748,0.00876738517468012,0.030163668384373565,0.34026035974838864
2003-12-16,90778,43176,15559,30039,68718,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.0075000524520874,0.4260834122805085,-38679,-2.287633435860322,27617,1.6916953139135154,0.030833257389349614,0.025470332850940667,0.030163668384373565,0.03225797291210086,0.3420118506163911
2003-12-30,89485,43735,17538,28511,66937,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.0399999618530271,0.42941275074034757,-38426,0.2787018881226729,26197,-1.5642556566568993,0.03466809152627609,0.04142118061789043,0.03225797291210086,0.025961606354405697,0.3437598686188702
2004-01-06,90562,46107,14838,28773,71023,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.0670000314712524,0.46653121618338816,-42250,-4.273341900877242,31269,5.667989048443873,0.043568880516253156,0.08322257773402247,0.025961606354405697,0.015463913494502268,0.34616714994366476
2004-01-13,91442,45520,15176,28214,71480,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.0835000276565552,0.4731523807440782,-43266,-1.1218833506327157,30344,-1.0213997040701397,0.01019118502618011,0.015239884012126005,0.015463913494502268,0.027688020880493935,0.34860917361290344
2004-01-20,90133,45097,15258,26413,69740,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.1134999990463257,0.48070074223647274,-43327,-0.06670895212265698,29839,-0.5522626364252751,0.03682672407517186,0.00836716096429459,0.027688020880493935,-0.002245224268163648,0.3550838919408419
2004-01-27,93722,42449,14469,31454,73113,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.1109999418258667,0.44449542263289304,-41659,1.850598559905917,27980,-2.062507627616966,0.08046515631126455,0.06038511542921396,-0.002245224268163648,0.05085515770123705,0.3575478116750998
2004-02-03,91868,43330,15253,28056,69792,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.1675000190734863,0.45430400139330346,-41736,-0.0821578711508504,28077,0.10349757794327905,0.06866772953969422,0.02842121434545858,0.05085515770123705,0.008565302184057044,0.35930581834334213
2004-02-10,85340,39955,13267,24506,64482,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.1775000095367432,0.46843215373798924,-39976,1.9157922236252016,26688,-1.51195193103148,0.09956398615543668,0.10072902183307655,0.008565302184057044,0.104033920838553,0.3612195402324107
2004-02-17,87694,39352,10465,26195,67300,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.2999999523162842,0.468732182361393,-41105,-1.322943520037497,28887,2.5767518162643546,0.04820578640569014,0.06835016159142461,0.104033920838553,0.01961543081780337,0.3620147258762337
2004-02-24,89394,35775,10242,32372,68642,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.3255000114440918,0.40573192831733673,-36270,5.5134900905421125,25533,-3.824663032818665,0.07443522680024552,0.0825781776300063,0.01961543081780337,0.03432669910334463,0.3610928466035197
2004-03-02,84146,35198,11563,28436,64039,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.371000051498413,0.42310983290946685,-35603,0.7461350873660425,23635,-2.1231850012305076,0.09233846985671804,0.040589380038921326,0.03432669910334463,-0.07366890355803635,0.36128497484361044
2004-03-09,74980,28836,9063,29074,57772,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.2699999809265137,0.3827420645505468,-28698,8.205975328595537,19773,-4.589641813039242,0.0795085553738802,0.23383202723026994,-0.07366890355803635,0.07401573487553237,0.360056407988056
2004-03-16,77104,30131,10339,29492,58842,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.3639999628067017,0.3806547001452584,-29350,-0.8695652173913043,19792,0.025340090690850893,0.016845155885615956,0.06352853965900668,0.07401573487553237,-0.0025659712878649543,0.36028920007056187
2004-03-23,73595,29704,11122,27401,54600,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.3604999780654907,0.3695767375501053,-27199,2.7897385349657604,18582,-1.5693089852666529,0.07723076547846977,0.029637975799735462,-0.0025659712878649543,-0.012127891548197045,0.3611933373942791
2004-03-30,82822,28782,14023,30626,54119,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.343999981880188,0.2836565163845355,-23493,5.035668183979889,14759,-5.194646375433114,0.04373119358074223,0.08931199626211891,-0.012127891548197045,-0.01264877989201807,0.35993130827457276
2004-04-06,76267,25695,16486,33285,49612,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.3270000219345093,0.21407686155217853,-16327,8.652290454227138,9209,-6.701118060418729,0.08644462405153383,0.13157582797942202,-0.01264877989201807,-0.007535787715119091,0.3627386416970928
2004-04-20,74361,26130,17356,31506,46879,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.3170000314712524,0.20673471308885033,-15373,1.250868658790827,8774,-0.5703646400146853,0.05756203355233782,0.030009658280826013,-0.007535787715119091,-0.061503483454665164,0.3669020028154764
2004-04-27,69318,19379,11199,34146,46644,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.2359999418258667,0.1802994893101359,-12498,3.8662739877086105,8180,-0.7988058256344052,0.03558608738705285,0.42213356007587155,-0.061503483454665164,-0.0036407058849172724,0.3709470394479587
2004-05-04,65438,17790,10488,33866,44616,085692,COPPER-GRADE #1 - COMMODITY EXCHANGE INC. ,1.2315000295639038,0.1642776368470919,-10750,2.521711532358118,7302,-1.2666262731180935,0.029408017124945847,0.08133531367140533,-0.0036407058849172724,-0.030856668038969026,0.3750242666341229
