,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,HO_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2003-01-07,171034,20871,6042,102043,127137,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.848800003528595,0.14671936574014524,-25094,,14829,,,,,0.05042413886983321,
2003-01-14,174986,18982,9838,108667,128838,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.8916000127792358,0.11527207890916988,-20171,2.8783750599296045,9144,-3.323900511009507,0.03505189364434433,0.1972588480222068,0.05042413886983321,0.0034768707107353247,
2003-01-21,183869,20483,11877,116355,135983,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.8946999907493591,0.10674991434118856,-19628,0.3103105391288446,8606,-0.307453167681986,0.058782268227536086,0.10939431396786156,0.0034768707107353247,0.03990166932312711,
2003-01-28,185724,20105,11578,116280,137071,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.930400013923645,0.11194568284120524,-20791,-0.6325155409557892,8527,-0.042965372085560914,0.0045904693488480405,0.021367926017106968,0.03990166932312711,0.03385638586498674,
2003-02-04,174049,24667,10181,99216,125619,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.961899995803833,0.1516986595728789,-26403,-3.021688096314962,14486,3.2085244771811934,0.12683078702159362,0.17099977043158862,0.03385638586498674,0.09990640726077404,
2003-02-11,171307,17610,12985,101495,119796,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",1.0579999685287476,0.10683159473926926,-18301,4.655010945193594,4625,-5.665645881332269,0.036612424364298596,0.32230756659584897,0.09990640726077404,0.06105859429708582,
2003-02-25,178525,16057,13803,113349,125761,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",1.122599959373474,0.0695252765719087,-12412,3.4376878936645907,2254,-1.3840648660008055,0.0745221864413868,0.07940388479571332,0.06105859429708582,-0.06591840694077145,
2003-03-04,153282,16184,8536,91991,113594,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",1.0485999584197998,0.14093631346146318,-21603,-5.148298557624983,7648,3.021425570648369,0.16307123574190724,0.21820388349514563,-0.06591840694077145,-0.017547162475469835,
2003-03-11,148293,12852,8037,91507,112089,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",1.0302000045776367,0.13879279534435207,-20582,0.6660925614227372,4815,-1.8482274500593678,0.009769347138450657,0.1833979606491455,-0.017547162475469835,-0.1673461434140281,
2003-03-18,132763,12670,4959,83720,102038,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.8578000068664551,0.13797518887039312,-18318,1.5267072619746045,7711,1.9528905612537344,0.09602816567792505,0.18492257076408192,-0.1673461434140281,-0.14327349985018933,
2003-03-25,119806,6390,5596,76715,86535,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.7348999977111816,0.08196584478239821,-9820,6.4008797631870324,794,-5.21003592868495,0.13787442572741193,0.5770899382613048,-0.14327349985018933,0.008164352123706475,
2003-04-01,104386,5163,8434,68177,72498,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.7408999800682068,0.04139443986741517,-4321,4.5899203712668815,-3271,-3.392985326277482,0.1604762751021859,0.2989630065455615,0.008164352123706475,-0.030908335712611756,
2003-04-08,106202,5084,8237,69163,73799,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.7179999947547913,0.04365266190843864,-4636,-0.30176460444887243,-3153,0.11304197880941888,0.015997258012618736,0.020719165227835748,-0.030908335712611756,0.07604456933194892,
2003-04-15,114253,4634,8965,75199,80942,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.772599995136261,0.0502656385390318,-5743,-1.0423532513511988,-4331,-1.1092069829193423,0.08440448056564259,0.0866240164717994,0.07604456933194892,0.007765962198805099,
2003-04-22,114667,6633,9750,74139,80496,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.7785999774932861,0.05543879232909207,-6357,-0.5374038318468661,-3117,1.0625541561271914,0.009739062954699777,0.16993224684123787,0.007765962198805099,-0.061905924790664146,
2003-04-29,114776,6365,8573,72993,76321,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.730400025844574,0.028995608838084618,-3328,2.641562088482301,-2208,0.7927302536911229,0.03563631005799858,0.09673316374347302,-0.061905924790664146,-0.07201536729116897,
2003-05-06,114869,6442,9116,75161,77523,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.6777999997138977,0.020562553865707895,-2362,0.8416393671150763,-2674,-0.4060082247159685,0.02207172984726625,0.0398508805759095,-0.07201536729116897,0.09442314918476269,
2003-05-13,119830,8127,7974,74461,82538,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.7418000102043152,0.06740382208128182,-8077,-4.975232656330254,153,2.4610643428601278,0.03640150574207479,0.17557915657412584,0.09442314918476269,-0.011728246213301263,
2003-05-20,121928,8228,6023,76437,86400,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.7330999970436096,0.08171215799488223,-9963,-1.5738963531669865,2205,1.7124259367437202,0.03585180272296837,0.14398989544593363,-0.011728246213301263,0.0175965010260275,
2003-05-27,123517,10412,6027,74392,87887,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.7459999918937683,0.10925621574358185,-13495,-2.896791549110951,4385,1.7879404238567023,0.021764984994977785,0.13309812032362064,0.0175965010260275,0.025737301873479446,
2003-06-03,121383,17178,6041,65583,86379,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.7652000188827515,0.17132547391315092,-20796,-5.91092724078467,11137,5.466454010379138,0.06789197299324831,0.29200223954520005,0.025737301873479446,0.02901200707964824,
2003-06-10,126549,22201,4560,64570,93761,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.7874000072479248,0.23066954302286072,-29191,-6.916124992791413,17641,5.358246212402066,0.05302183400597482,0.24304024513284256,0.02901200707964824,-0.045085077037904986,
2003-06-17,122458,18463,5250,66476,88362,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.7519000172615051,0.17872250077577617,-21886,5.772467581727236,13213,-3.499039897589076,0.04717834123406399,0.18673301564542655,-0.045085077037904986,-0.009575744786535889,
2003-06-24,126515,18654,5693,68609,91864,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.744700014591217,0.18381219618227088,-23255,-1.1179343121723366,12961,-0.2057848405167486,0.03511494145432565,0.02604016922002711,-0.009575744786535889,0.061098401447799766,
2003-07-01,120559,22429,6346,62763,91800,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.7901999950408936,0.2408530263190637,-29037,-4.570209066118642,16083,2.467691578073746,0.03823683546515013,0.15388357949609036,0.061098401447799766,-0.014047069415651259,
2003-07-08,117928,21753,5518,60861,90527,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.7791000008583069,0.2515602740655315,-29666,-0.5217362453238663,16235,0.12607934704169743,0.020972600206092953,0.055150159510102305,-0.014047069415651259,0.04389682023641561,0.11784760079309778
2003-07-15,129471,28908,7845,62094,99867,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.8133000135421753,0.29174873137613827,-37773,-6.874533613730412,21063,4.094023471948986,0.06528114793067467,0.2579925448262727,0.04389682023641561,-0.06996191253734907,0.12428838340728446
2003-07-22,134541,23427,5897,73842,102810,022651,"NO. 2 HEATING OIL, N.Y. HARBOR - NEW YORK MERCANTILE EXCHANGE ",0.7563999891281128,0.21530983120387093,-28968,6.80075074727159,17530,-2.7287964100068742,0.08316350791386455,0.2533419724457782,-0.06996191253734907,0.028424103286561087,0.1275391494000197
