,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,KC_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2003-01-07,68571,15420,13870,31633,41525,083731,"COFFEE C - COFFEE,SUGAR AND COCOA EXCHANGE ",63.5,0.14425923495355178,-9892,,1550,,,,,0.022047268124077313,
2003-01-14,67411,15033,12283,30345,41177,083731,"COFFEE C - COFFEE,SUGAR AND COCOA EXCHANGE ",64.9000015258789,0.16068594146355936,-10832,-1.370841901095215,2750,1.75001093756836,0.022874080702441207,0.07226533899546053,0.022047268124077313,0.023112480196196605,
2003-01-21,67998,15564,11323,30269,43052,083731,"COFFEE C - COFFEE,SUGAR AND COCOA EXCHANGE ",66.4000015258789,0.18799082325950764,-12783,-2.8941864087463474,4241,2.211805194997849,0.026609020608011347,0.05545430877375684,0.023112480196196605,-0.018825300772211895,
2003-01-28,71893,18221,10999,30861,46310,083731,"COFFEE C - COFFEE,SUGAR AND COCOA EXCHANGE ",65.1500015258789,0.21488879306747527,-15449,-3.920703550104415,7222,4.38395246919027,0.04988920708556323,0.10201916495550993,-0.018825300772211895,-0.0015348959597701883,
2003-02-04,71431,18516,8162,30471,49342,083731,"COFFEE C - COFFEE,SUGAR AND COCOA EXCHANGE ",65.05000305175781,0.2641850177093979,-18871,-4.759851445898766,10354,4.356474204720905,0.042875220828687055,0.11740010495539396,-0.0015348959597701883,0.01614135854118004,
2003-02-11,73058,20172,8229,29756,50305,083731,"COFFEE C - COFFEE,SUGAR AND COCOA EXCHANGE ",66.0999984741211,0.28126967614771825,-20549,-2.349120129915583,11943,2.22452436617155,0.020959018748204494,0.06066687792683356,0.01614135854118004,-0.11195155646000243,
2003-02-25,71166,15667,14700,33868,41669,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",58.70000076293945,0.10961695191524043,-7801,17.449149990418572,967,-15.023679816036573,0.16876497610442565,0.36144498962689764,-0.11195155646000243,-0.028960830338059518,
2003-03-04,74722,13535,19936,37845,38394,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",57.0,0.007347233746420064,-549,10.190259393530617,-6401,-10.353258578534694,0.09512191922769186,0.22013085955005826,-0.028960830338059518,0.006140324107387407,
2003-03-11,75991,14490,21863,38274,38047,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",57.34999847412109,-0.002987195852140385,227,1.038516099676133,-7373,-1.3008217124809294,0.01016758166166586,0.07927818887024454,0.006140324107387407,-0.013077594070703191,
2003-03-18,78177,14599,22238,40155,39032,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",56.59999847412109,-0.014364838763319135,1123,1.1790869971443987,-7639,-0.35004145227724337,0.036192809425789584,0.013138963542090832,-0.013077594070703191,0.025618388728445574,
2003-03-25,78853,14528,22318,40418,39551,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",58.04999923706055,-0.010995142860766235,867,-0.3274620412653338,-7790,-0.19315143840259924,0.009778789280846328,0.004098138196819193,0.025618388728445574,0.004306632270210109,
2003-04-01,80382,14269,23609,42141,39570,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",58.29999923706055,-0.03198477271030828,2571,2.1609830951263747,-9340,-1.9656829797217608,0.021319039052269586,0.040920851153703995,0.004306632270210109,0.049742736943904076,
2003-04-08,78349,14379,20003,38794,40587,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",61.20000076293945,0.022884784745178625,-1793,-5.429076161329651,-5624,4.622925530591425,0.054975371940388755,0.10807980920248968,0.049742736943904076,-0.03267973815469505,
2003-04-15,82088,13652,21706,41463,40818,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",59.20000076293945,-0.007857421303966475,645,3.111718081915532,-8054,-3.1015073581028476,0.0352450748046329,0.06872560665195995,-0.03267973815469505,0.09459463203797935,
2003-04-22,76496,16806,19970,37783,41876,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",64.80000305175781,0.05350606567663669,-4093,-5.771854595068707,-3164,5.957021732774583,0.05947852722228499,0.13296715249075483,0.09459463203797935,0.009259235275681288,
2003-04-29,73095,15806,16776,35863,42946,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",65.4000015258789,0.09690129283808742,-7083,-3.9087011085546957,-970,2.8681238234678936,0.037939829207324034,0.12872137990301394,0.009259235275681288,0.05045864442461001,
2003-05-06,73652,19357,12955,32677,48001,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",68.69999694824219,0.20805952316298268,-15324,-11.274368971885902,6402,10.085505164511936,0.10214680582066982,0.22815053230997773,0.05045864442461001,-0.02474522596446327,
2003-05-13,73261,19156,11600,30830,47891,083731,"COFFEE C - COFFEE, SUGAR AND COCOA EXCHANGE ",67.0,0.2328797040717435,-17061,-2.3583880953674035,7556,1.5668277847173193,0.024859948425451913,0.0505917544544154,-0.02474522596446327,0.002238828744461241,
