,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,KE_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2003-01-07,58972,4296,6739,36877,36336,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,362.75,-0.009173845214678152,541,,-2443,,,,,-0.05995864920744309,
2003-01-14,58565,3895,6342,36846,35168,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,341.0,-0.02865192521130368,1678,1.928033643084854,-2447,-0.006782880010852608,0.01664954036715083,0.07795252515385367,-0.05995864920744309,0.02346041055718473,
2003-01-21,58921,5156,6533,37524,36506,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,349.0,-0.017277371395597495,1018,-1.1269529582515154,-1377,1.8270297959532142,0.027232203160880725,0.12421935152707674,0.02346041055718473,0.0,
2003-01-28,57091,8584,7774,32721,34244,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,349.0,0.02667670911352052,-1523,-4.312554097859846,810,3.7117496308616627,0.10550287463600388,0.28542609120919427,0.0,0.03080229226361042,
2003-02-04,57623,5846,8267,34600,33950,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,359.75,-0.011280217968519515,650,3.8062041302482004,-2421,-5.659385892697623,0.03169948942377827,0.22893785871182598,0.03080229226361042,-0.0006949270326616075,
2003-02-11,56755,4561,7868,36182,33525,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,359.5,-0.04681525856752709,2657,3.4829842250490253,-3307,-1.53758048001666,0.028791943420316466,0.1354895808190522,-0.0006949270326616075,-0.003477051460361591,
2003-02-18,56535,4468,8127,36368,33023,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,358.25,-0.0591668877686389,3345,1.212227997533257,-3659,-0.6202096731565501,0.009914830453517027,0.02794759825327511,-0.003477051460361591,-0.022330774598743885,
2003-02-25,50672,3508,7617,33588,29355,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,350.25,-0.08353725923586991,4233,1.5707084107190235,-4109,-0.7959671000265323,0.10244189187042245,0.13213483146067415,-0.022330774598743885,0.0049964311206280865,
2003-03-04,46498,3284,8453,32089,26188,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,352.0,-0.12690868424448362,5901,3.291758762235554,-5169,-2.0918850647300284,0.08006589220447174,0.09031268637641646,0.0049964311206280865,-0.005681818181818232,
2003-03-11,45253,2679,8741,30195,23561,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,350.0,-0.1465980156011756,6634,1.5764118886833842,-6062,-1.9205127102240958,0.08410223974998139,0.07819614711033275,-0.005681818181818232,-0.02285714285714291,
2003-03-18,47659,2424,10325,31154,22259,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,342.0,-0.18663841037369647,8895,4.996353832895057,-7901,-4.063818973327735,0.04233051878756108,0.14424660757706487,-0.02285714285714291,-0.07602339181286555,
2003-03-25,48761,2075,10988,33167,22267,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,316.0,-0.2235393039519288,10900,4.206970351874777,-8913,-2.12341845191884,0.036457769599884546,0.07747071882415985,-0.07602339181286555,0.007120253164556889,
2003-04-01,48997,2329,12218,33588,22023,001612,WHEAT - KANSAS CITY BOARD OF TRADE ,318.25,-0.2360348592770986,11565,1.3637948360369967,-9889,-2.0015996390558026,0.011958065850281419,0.10201416099539425,0.007120253164556889,0.0054988216810683,
