,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,LB_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2003-01-07,3975,168,1389,1011,190,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,221.3999938964844,-0.20654088050314465,821,,-1221,,,,,0.021680231183755172,
2003-01-14,2669,194,994,627,371,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,226.1999969482422,-0.09591607343574372,256,-14.213836477987421,-800,10.59119496855346,0.5661322645290581,0.3543771043771044,0.021680231183755172,0.035366932395805906,
2003-01-21,2910,229,1033,665,370,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,234.1999969482422,-0.1013745704467354,295,1.4612214312476584,-804,-0.14986886474334957,0.03768115942028986,0.058637083993660855,0.035366932395805906,0.08411612811675595,
2003-01-28,3020,240,1088,700,472,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,253.8999938964844,-0.07549668874172186,228,-2.302405498281787,-848,-1.5120274914089347,0.11689419795221843,0.04969879518072289,0.08411612811675595,0.09610080536840138,
2003-02-04,3451,411,1143,543,972,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,278.29998779296875,0.12431179368299043,-429,-21.75496688741722,-732,3.8410596026490067,0.43366336633663366,0.14543114543114544,0.09610080536840138,-0.0071864897151480145,
2003-02-11,3361,375,795,497,1286,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,276.29998779296875,0.2347515620351086,-789,-10.431758910460736,-420,9.040857722399306,0.20190689848569826,0.3282051282051282,-0.0071864897151480145,-0.06623231488045123,
2003-02-18,3091,316,803,467,1045,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,258.0,0.18699450016175995,-578,6.277893484082118,-487,-1.9934543290687297,0.17923280423280424,0.05987488829311886,-0.06623231488045123,-0.022868193397226344,
2003-02-25,3217,320,866,339,1221,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,252.1000061035156,0.2741684799502642,-882,-9.835004852798447,-546,-1.9087673891944354,0.19487179487179487,0.05649241146711636,-0.022868193397226344,-0.058310241376968386,
2003-03-04,2456,181,605,592,781,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,237.3999938964844,0.07695439739413681,-189,21.54180913894933,-424,3.7923531240285984,0.504734158776402,0.5089058524173028,-0.058310241376968386,-0.05096879172626545,
2003-03-11,2606,300,1047,539,439,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,225.3000030517578,-0.03837298541826554,100,11.767100977198696,-747,-13.151465798045603,0.40388548057259716,0.41648106904231624,-0.05096879172626545,0.09187748188128886,
2003-03-18,2294,247,996,581,395,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,246.0,-0.08108108108108109,186,3.300076745970836,-749,-0.07674597083653108,0.08811475409836066,0.083668543845535,0.09187748188128886,-0.023170719301797482,
2003-03-25,2548,235,1034,722,402,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,240.3000030517578,-0.12558869701726844,320,5.841325196163906,-799,-2.1795989537925022,0.13167259786476868,0.039401103230890466,-0.023170719301797482,-0.030794877491863937,
2003-04-01,2998,385,1323,752,331,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,232.8999938964844,-0.14042695130086724,421,3.9638932496075356,-938,-5.455259026687599,0.09325946445060018,0.2570257611241218,-0.030794877491863937,0.027050249965046902,
2003-04-08,2803,331,1146,730,463,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,239.1999969482422,-0.0952550838387442,267,-5.136757838559039,-815,4.10273515677118,0.12908633696563285,0.15639810426540285,0.027050249965046902,0.029682300142553686,
2003-04-15,2643,227,903,693,457,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,246.3000030517578,-0.08929247067726069,236,-1.1059579022475918,-676,4.958972529432751,0.03739130434782609,0.3070796460176991,0.029682300142553686,0.007714144835333725,
2003-04-22,2695,130,920,687,416,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,248.1999969482422,-0.10055658627087198,271,1.324252743094968,-790,-4.313280363223609,0.04261106074342702,0.10857142857142857,0.007714144835333725,-0.04875097096495873,
2003-04-29,2856,308,1041,496,302,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,236.1000061035156,-0.06792717086834733,194,-2.857142857142857,-733,2.1150278293135436,0.38220551378446116,0.22164566345441067,-0.04875097096495873,-0.0529436665686468,
2003-05-06,3115,282,1134,676,266,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,223.6000061035156,-0.13162118780096307,410,7.563025210084033,-852,-4.166666666666666,0.22929936305732485,0.08403954802259887,-0.0529436665686468,0.007155593922416381,
2003-05-13,3287,371,1338,719,337,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,225.1999969482422,-0.11621539397627015,382,-0.8988764044943821,-967,-3.6918138041733553,0.10795454545454546,0.17144528964306613,0.007155593922416381,0.10879218619896713,
2003-05-20,2868,364,1182,564,373,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,249.6999969482422,-0.06659693165969316,191,-5.810769698813507,-818,4.533008822634621,0.20384204909284953,0.1054333764553687,0.10879218619896713,-0.020024029079329098,
2003-05-27,2667,379,1044,527,377,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,244.6999969482422,-0.0562429696287964,150,-1.4295676429567643,-665,5.334728033472803,0.04535398230088496,0.10751932536893886,-0.020024029079329098,0.06661219147953457,
2003-06-03,2752,394,896,676,621,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,261.0,-0.01998546511627907,55,-3.562054743157105,-502,6.111736032995876,0.30300693909020815,0.1263565891472868,0.06661219147953457,0.04022988505747116,
2003-06-10,2937,379,967,668,818,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,271.5,0.05107252298263534,-150,-7.449127906976743,-588,-3.125,0.1379542395693136,0.0638930163447251,0.04022988505747116,0.04640886225972607,
2003-06-17,3313,426,940,577,921,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,284.1000061035156,0.10383338364020525,-344,-6.605379639087504,-514,2.519577800476677,0.1295060080106809,0.05417276720351391,0.04640886225972607,0.06300596097123012,
2003-06-24,3573,591,493,502,1368,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,302.0,0.24237335572348168,-866,-15.756112284938123,98,18.472683368548143,0.279144385026738,0.5645756457564576,0.06300596097123012,-0.07119205298013243,
2003-07-01,3069,494,447,301,831,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,280.5,0.17269468882372108,-530,9.403862300587742,47,-1.4273719563392109,0.6519434628975265,0.15196599362380447,-0.07119205298013243,-0.01889478714070858,-0.005436019361067331
2003-07-08,2938,565,420,340,917,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,275.20001220703125,0.19639210347174949,-577,-1.531443466927338,145,3.1932225480612577,0.09944311853619729,0.09949238578680203,-0.01889478714070858,-0.06867741124896509,0.002039096299407366
2003-07-15,2238,382,428,246,505,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,256.29998779296875,0.11572832886505809,-259,10.823689584751532,-46,-6.5010211027910145,0.6737683089214381,0.23580246913580247,-0.06867741124896509,0.039406970677166475,0.006099426033894892
2003-07-22,2146,236,442,262,512,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,266.3999938964844,0.11649580615097857,-250,0.40214477211796246,-206,-7.149240393208221,0.029715762273901807,0.2359882005899705,0.039406970677166475,0.06981984433056354,0.00990619776207019
2003-07-29,1893,282,376,216,415,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,285.0,0.10512414157422081,-199,2.3765144454799625,-94,5.21901211556384,0.2266244057052298,0.1702127659574468,0.06981984433056354,0.07228072317023027,0.013080129222475211
2003-08-05,2134,283,403,263,612,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,305.6000061035156,0.1635426429240862,-349,-7.923930269413629,-120,-1.3734812466983624,0.27885714285714286,0.04081632653061224,0.07228072317023027,-0.030431996481690815,0.01793375869672073
2003-08-12,2566,386,503,513,734,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,296.29998779296875,0.08612626656274357,-221,5.998125585754452,-117,0.14058106841611998,0.2983159582999198,0.2283464566929134,-0.030431996481690815,0.03678712407399276,0.02006477456753394
2003-08-19,2890,433,443,632,1002,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,307.20001220703125,0.12802768166089964,-370,-5.806703039750585,-10,4.169914263445051,0.23684210526315788,0.12214611872146118,0.03678712407399276,0.11979162217014538,0.02333637781278745
2003-08-26,3400,622,499,674,1459,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,344.0,0.23088235294117648,-785,-14.359861591695502,123,4.602076124567474,0.23394280356305672,0.21855486173059768,0.11979162217014538,0.01860463342001273,0.02944067119891654
2003-09-02,3788,880,422,501,1708,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,350.3999938964844,0.3186378035902851,-1207,-12.411764705882353,458,9.852941176470589,0.19103666817564507,0.2572964669738863,0.01860463342001273,0.005993168208033639,0.0377034464100985
2003-09-09,3860,1096,392,550,1633,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,352.5,0.2805699481865285,-1083,3.2734952481520594,704,6.4941921858500535,0.056802565277141545,0.16532258064516128,0.005993168208033639,-0.0822695035460993,0.044449738126110444
2003-09-16,3451,1075,396,358,1393,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,323.5,0.2999130686757462,-1035,1.2435233160621761,679,-0.6476683937823834,0.24671616219303255,0.01699524133242692,-0.0822695035460993,-0.02472952086553326,0.05135415246528978
2003-09-23,3195,1007,397,347,1369,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,315.5,0.3198748043818466,-1022,0.37670240509997105,610,-1.999420457838308,0.020396270396270396,0.049145299145299144,-0.02472952086553326,-0.019017432646592725,0.05842048541046234
2003-09-30,3263,883,274,510,1455,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,309.5,0.28961078761875575,-945,2.4100156494522693,609,-0.03129890453834116,0.1267175572519084,0.21348314606741572,-0.019017432646592725,-0.022617124394184174,0.06434844187734165
2003-10-07,3271,1022,283,573,1519,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,302.5,0.28920819321308466,-946,-0.030646644192460923,739,3.9840637450199203,0.0607074569789675,0.11340996168582375,-0.022617124394184174,0.0023140899405991178,0.06996993566073523
2003-10-14,3654,964,316,771,1898,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,303.20001220703125,0.30842911877394635,-1127,-5.533476001222867,648,-2.7820238459186792,0.21618583739228175,0.07109375,0.0023140899405991178,-0.06728239971221683,0.07578601329764281
2003-10-21,2813,822,230,485,1323,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,282.79998779296875,0.29790259509420547,-838,7.909140667761358,592,-1.532567049808429,0.476216814159292,0.21673003802281368,-0.06728239971221683,-0.05445542631267142,0.08107450334041812
2003-10-28,2447,565,276,461,915,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,267.3999938964844,0.1855333060890887,-454,13.650906505510132,289,-10.771418414504089,0.313953488372093,0.36028537455410226,-0.05445542631267142,-0.006357448497591345,0.08350377782294534
2003-11-04,1968,375,197,317,826,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,265.70001220703125,0.25863821138211385,-509,-2.2476501838986516,178,-4.536166734777279,0.20384951881014873,0.47027972027972026,-0.006357448497591345,0.03123819123689575,0.08748410585838098
2003-11-11,1736,234,193,355,584,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,274.0,0.13191244239631336,-229,14.227642276422763,41,-6.961382113821138,0.29818956336528224,0.3395784543325527,0.03123819123689575,0.12408759124087587,0.08847140222589059
2003-11-18,1732,243,153,366,407,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,308.0,0.02367205542725173,-41,10.829493087557603,90,2.82258064516129,0.24320827943078913,0.12373737373737374,0.12408759124087587,0.017857142857142794,0.08706272077374626
2003-11-25,1912,317,235,315,416,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,313.5,0.05282426778242678,-101,-3.4642032332563506,82,-0.4618937644341801,0.08207934336525308,0.2826086956521739,0.017857142857142794,-0.0488037888132975,0.08633424305052671
2003-12-02,1875,376,255,349,448,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,298.20001220703125,0.0528,-99,0.10460251046025104,121,2.0397489539748954,0.08281053952321205,0.12519809825673534,-0.0488037888132975,-0.02850435832342857,0.08563561298697407
2003-12-09,1871,405,362,297,386,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,289.70001220703125,0.04756814537680385,-89,0.5333333333333333,43,-4.16,0.16691068814055637,0.1773142112125163,-0.02850435832342857,-0.03693480067713839,0.08485872589288897
2003-12-16,1948,276,365,418,341,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,279.0,-0.039527720739219716,77,8.872260823089258,-89,-7.055050774986638,0.21870882740447958,0.2059282371294852,-0.03693480067713839,0.10573476702508966,0.08237099696024679
2003-12-30,1916,414,489,364,413,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,308.5,0.0255741127348643,-49,-6.46817248459959,-75,0.7186858316221766,0.16216216216216217,0.2901439645625692,0.10573476702508966,0.05316043402426063,0.08125733256367067
2004-01-06,2253,618,262,242,762,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,324.8999938964844,0.23080337328007103,-520,-24.582463465553236,356,22.494780793319418,0.46912350597609564,0.48977272727272725,0.05316043402426063,-0.005540128737405392,0.08413321796206298
2004-01-13,2576,739,224,206,900,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,323.1000061035156,0.2694099378881988,-694,-7.723035952063914,515,7.057256990679095,0.15732368896925858,0.16510903426791276,-0.005540128737405392,0.09811198109138064,0.09328611831574266
2004-01-20,3322,922,395,281,1387,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,354.79998779296875,0.3329319686935581,-1106,-15.993788819875776,527,0.4658385093167702,0.3369304556354916,0.26879271070615035,0.09811198109138064,-0.05524232316877753,0.10153319604899846
2004-01-27,3386,1034,363,319,1608,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,335.20001220703125,0.380685174246899,-1289,-5.508729680915112,671,4.334738109572546,0.1344058121432278,0.10307802433786686,-0.05524232316877753,-0.002088341830366325,0.11080357575464528
2004-02-03,3368,1012,346,307,1605,058643,RANDOM LENGTH LUMBER - CHICAGO MERCANTILE EXCHANGE ,334.5,0.3853919239904988,-1298,-0.2658003544004725,666,-0.14766686355581807,0.007845188284518828,0.028718703976435934,-0.002088341830366325,0.09865470852017943,0.11966681830718799
