,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,LE_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2003-01-07,113039,49168,10099,29045,52086,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE ,79.67500305175781,0.2038323056644167,-23041,,39069,,,,,-0.005648002013183384,
2003-01-14,114068,47287,10293,30088,52779,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE ,79.2249984741211,0.19892520251078305,-22691,0.30962765063385206,36994,-1.8356496430435514,0.020949231901722036,0.036036818339701286,-0.005648002013183384,-0.018302265398160045,
2003-01-21,108182,41526,9300,30759,53460,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE ,77.7750015258789,0.2098408237969348,-22701,-0.008766700564575515,32226,-4.1799628291896065,0.01605338462817179,0.13288474402864675,-0.018302265398160045,0.0073930817995659925,
2003-01-28,109663,42009,8735,32204,55130,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE ,78.3499984741211,0.20905866153579603,-22926,-0.2079828437263131,33274,0.9687378676674493,0.035667666659033134,0.020652688002522467,0.0073930817995659925,0.010848736320037577,
2003-02-04,117281,50117,10772,32184,57623,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE ,79.19999694824219,0.2169064042769076,-25439,-2.291565979409646,39345,5.536051357340215,0.027982228556794015,0.16661465946230025,0.010848736320037577,-0.013888870157911182,
2003-02-11,111217,46046,8482,30536,56919,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE ,78.0999984741211,0.23722092845518222,-26383,-0.8049044602279996,37564,-1.518575046256427,0.026893831113143904,0.1166556631455399,-0.013888870157911182,-0.028489097536389285,
2003-02-18,101302,34623,7943,33157,51240,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE ,75.875,0.17850585378373576,-18083,7.462887867861928,26680,-9.786273681181834,0.09834472789317156,0.28102241225391156,-0.028489097536389285,0.016144955177872733,
2003-02-25,99858,34422,9068,32590,49795,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE ,77.0999984741211,0.17229465841494923,-17205,0.8667153659355196,25354,-1.3089573749777892,0.02442192146628634,0.03048976776270407,0.016144955177872733,-0.02658878680848964,
2003-03-04,95238,29228,9694,33308,48810,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE ,75.05000305175781,0.16277116277116277,-15502,1.7054216988123136,19534,-5.828276152136033,0.02073844954821111,0.14952982888854632,-0.02658878680848964,-0.0303131436824855,
2003-03-11,98065,28085,12179,34399,47508,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE ,72.7750015258789,0.1336766430428797,-13109,2.5126525126525125,15906,-3.8094038094038094,0.029216062119232788,0.09010530498708524,-0.0303131436824855,0.01408452771401758,
2003-03-18,101603,29157,13913,34903,46354,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE ,73.80000305175781,0.11270336505811836,-11451,1.6907153418650895,15244,-0.6750624585733952,0.02040439592896612,0.0651497562108196,0.01408452771401758,0.0233739620974176,
2003-03-25,100371,30439,13314,33802,45129,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE ,75.5250015258789,0.1128513215968756,-11327,0.12204364044368769,17125,1.8513232876981978,0.029468776526333125,0.042991337736840905,0.0233739620974176,0.009268413559744504,
2003-04-01,99845,31168,12714,32591,44423,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE ,76.2249984741211,0.1185036807050929,-11832,-0.5031333751780892,18454,1.3240876348746151,0.024891578154621237,0.030285766373456088,0.009268413559744504,0.02033457635665359,
2003-04-08,97986,32216,9432,31894,48184,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE ,77.7750015258789,0.16624823954442472,-16290,-4.464920626971806,22784,4.33672191897441,0.0556707210469792,0.10396657702650787,0.02033457635665359,0.008036001128100656,
2003-04-15,99510,35874,10580,31326,47785,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE ,78.4000015258789,0.165400462265099,-16459,-0.17247361868021963,25294,2.561590431286102,0.012223331774342379,0.10345718345029492,0.008036001128100656,-0.015624980233153951,
2003-04-22,95247,29358,8527,31309,47653,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE ,77.17500305175781,0.17159595577813475,-16344,0.11556627474625666,20831,-4.484976384282987,0.0018869836123705072,0.22618450574105847,-0.015624980233153951,0.01943634519838011,
2003-04-29,94183,32550,8959,29335,49080,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE ,78.67500305175781,0.20964505271651995,-19745,-3.5707161380410932,23591,2.897729062332672,0.04337180386405662,0.08730636729383989,0.01943634519838011,-0.027963196597391993,
2003-05-06,103159,43698,12453,28393,53367,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE ,76.4749984741211,0.24209230411306817,-24974,-5.551957359608422,31245,8.126732000467175,0.06395547945205479,0.26076116186710835,-0.027963196597391993,0.006865008647977566,
2003-05-13,110518,48951,12150,27490,57433,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE ,77.0,0.2709332416438951,-29943,-4.816836146143332,36801,5.385860661696992,0.05851182836216337,0.09093140865124957,0.006865008647977566,-0.01883112919795049,
2003-05-20,111757,50553,11538,27437,58846,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE ,75.55000305175781,0.28104727220666265,-31409,-1.3264807542662733,39015,2.003293581136105,0.016990600697704066,0.03565734164371648,-0.01883112919795049,0.038385093042255125,
2003-05-27,109931,42307,11728,30488,57245,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE ,78.44999694824219,0.24339813155524828,-26757,4.162602789981835,30579,-7.5485204506205426,0.05302451757035551,0.15612103266401406,0.038385093042255125,-0.03059265761435004,
2003-06-03,116176,49630,14211,30976,61297,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE ,76.05000305175781,0.26099194325850433,-30321,-3.242033639282823,35419,4.402761732359389,0.049201825019236395,0.15360035087169688,-0.03059265761435004,-0.010848185989884018,
2003-06-10,120122,50737,13145,31142,62662,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE ,75.2249984741211,0.26239989344166764,-31520,-1.032054813386586,37592,1.8704379562043798,0.016321265617670888,0.0340158417081494,-0.010848185989884018,-0.03256891987954025,
2003-06-17,108639,39702,10112,30594,59352,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE ,72.7750015258789,0.2647115676690691,-28758,2.2993290155009074,29590,-6.661560746574316,0.042892402107931424,0.28241056731039466,-0.03256891987954025,-0.00377879106991319,
2003-06-24,106172,38593,11294,29572,55718,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE ,72.5,0.2462607843875975,-26146,2.404293117572879,27299,-2.108819116523532,0.05459022159690468,0.04592378776033836,-0.00377879106991319,-0.004137973127693928,
2003-07-01,104730,41029,10056,28948,56409,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE ,72.19999694824219,0.26220758139978995,-27461,-1.238556304863806,30973,3.4604227103191048,0.015405883524491255,0.0719193501027699,-0.004137973127693928,0.024238228171318488,0.20438551698432755
2003-07-08,115865,53476,13376,29163,60953,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE ,73.94999694824219,0.27437103525654855,-31790,-4.133486107132627,40100,8.714790413444094,0.052809711926849835,0.23584933883803028,0.024238228171318488,-0.023664639245689623,0.20697757321663202
2003-07-15,115279,53180,16456,28545,60257,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE ,72.19999694824219,0.2750891315851109,-31712,0.0673197255426574,36724,-2.913735813230915,0.014796964032341615,0.0484806709173416,-0.023664639245689623,0.04293637443970977,0.20941012887264912
2003-07-22,111718,54564,18597,29013,58409,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE ,75.30000305175781,0.2631268014106948,-29396,2.00903894031003,35967,-0.6566677365348416,0.026492187321269244,0.04818140812728093,0.04293637443970977,0.056108875204387676,0.2112624279256852
2003-07-29,113782,51501,18245,30714,56790,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE ,79.5250015258789,0.229175089205674,-26076,2.9717682020802374,33256,-2.426645661397447,0.0379411226915341,0.04896338141255412,0.056108875204387676,-0.019176378454801357,0.21185951663501815
2003-08-05,112116,54237,18744,29263,56014,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE ,78.0,0.2386010917264262,-26751,-0.5932397039953596,35493,1.966040322722399,0.026114896161919393,0.044326605554870446,-0.019176378454801357,-0.0035256605881911485,0.2127221480895797
2003-08-12,112024,57517,19968,28482,56075,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE ,77.7249984741211,0.24631329000928373,-27593,-0.7510078846908559,37549,1.8338149773448928,0.009957779959080856,0.05812737949280506,-0.0035256605881911485,0.012865873523728144,0.21377187127457045
2003-08-19,114243,56941,20816,28913,55140,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE ,78.7249984741211,0.2295720525546423,-26227,1.2193815610940513,36125,-1.271156180818396,0.01625165074417332,0.018313463739599006,0.012865873523728144,0.048586912058106835,0.21425066464669382
2003-08-26,120630,53514,20417,32369,56324,057642,LIVE CATTLE - CHICAGO MERCANTILE EXCHANGE ,82.55000305175781,0.19858244217856255,-23955,1.988743292805686,33097,-2.65049062086955,0.05231528981994069,0.05175095697339411,0.048586912058106835,0.027256207350946804,0.21378983457410175
