,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,PA_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2003-01-07,1988,202,405,1431,779,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,241.5,-0.32796780684104626,652,,-203,,,,,0.035196687370600444,
2003-01-14,2045,277,320,1303,942,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,250.0,-0.1765281173594132,361,-14.637826961770623,-43,8.048289738430583,0.12962138084632516,0.26800670016750416,0.035196687370600444,0.05600000000000005,
2003-01-21,1991,232,313,1308,923,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,264.0,-0.19337016574585636,385,1.17359413202934,-81,-1.8581907090464547,0.010757507844016136,0.09541284403669725,0.05600000000000005,0.012689417058771246,
2003-01-28,2032,232,300,1201,1120,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,267.3500061035156,-0.03986220472440945,81,-15.268709191361124,-68,0.6529382219989954,0.13097802671262387,0.02443609022556391,0.012689417058771246,0.002431246985768576,
2003-02-04,2093,396,332,1135,1153,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,268.0,0.008600095556617296,-18,-4.872047244094488,64,6.496062992125983,0.04326923076923077,0.2692307692307692,0.002431246985768576,-0.05970149253731338,
2003-02-11,1997,292,303,1148,1102,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,252.0,-0.02303455182774161,46,3.0578117534639273,-11,-3.58337314859054,0.028444444444444446,0.2235294117647059,-0.05970149253731338,-0.001984126984126977,
2003-02-25,2103,267,273,1164,1059,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,251.5,-0.04992867332382311,105,2.954431647471207,-6,0.25037556334501754,0.026540710751237068,0.10185185185185185,-0.001984126984126977,-0.050099427846980515,
2003-03-04,1994,319,235,1156,1076,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,238.8999938964844,-0.04012036108324975,80,-1.1887779362815025,84,4.279600570613409,0.011200716845878136,0.1624548736462094,-0.050099427846980515,0.01548770322963855,
2003-03-11,2015,295,243,1188,1137,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,242.6000061035156,-0.025310173697270472,51,-1.4543630892678034,52,-1.60481444332999,0.04,0.05947955390334572,0.01548770322963855,-0.03050292237880603,
2003-03-18,2034,325,232,1167,1062,075651,PALLADIUM - NEW YORK MERCANTILE EXCHANGE ,235.1999969482422,-0.051622418879056046,105,2.6799007444168734,93,2.034739454094293,0.04306864064602961,0.07360861759425494,-0.03050292237880603,-0.12967687243087755,
