,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,SI_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2003-01-07,95739,45993,7406,15941,79275,084691,SILVER - COMMODITY EXCHANGE INC. ,4.803999900817871,0.6615276950876863,-63334,,38587,,,,,-0.01061617804091386,
2003-01-14,98600,45901,8658,18244,81066,084691,SILVER - COMMODITY EXCHANGE INC. ,4.752999782562256,0.6371399594320487,-62822,0.5347872862678741,37243,-1.4038166264531697,0.04122444869600242,0.02463388258582452,-0.01061617804091386,0.011571703701221736,
2003-01-21,99420,47016,8616,17880,81442,084691,SILVER - COMMODITY EXCHANGE INC. ,4.808000087738037,0.6393281029973849,-63562,-0.7505070993914807,38400,1.17342799188641,0.007450514488230201,0.02079738280126546,0.011571703701221736,0.01185517519550272,
2003-01-28,102214,47139,7167,18122,84903,084691,SILVER - COMMODITY EXCHANGE INC. ,4.864999771118164,0.6533449429628035,-66781,-3.2377791188895597,39972,1.5811707905853951,0.03594273234651783,0.028947077670975582,0.01185517519550272,0.009455294137480363,
2003-02-04,103514,49110,6582,16654,87790,084691,SILVER - COMMODITY EXCHANGE INC. ,4.910999774932861,0.6872113916958092,-71136,-4.2606687929246485,42528,2.500635920715362,0.04169698594462104,0.04589528118939883,0.009455294137480363,-0.07025041865255777,
2003-02-11,95036,36461,7324,20067,76962,084691,SILVER - COMMODITY EXCHANGE INC. ,4.565999984741211,0.5986678732269877,-56895,13.757559363950769,29137,-12.936414398052436,0.14677055313359924,0.3058353317346123,-0.07025041865255777,0.01620671966528242,
2003-02-25,90955,30629,9723,24080,67623,084691,SILVER - COMMODITY EXCHANGE INC. ,4.639999866485596,0.47873124072343465,-43543,14.049412854076351,20906,-8.660928490256325,0.1456004710860059,0.20397997620935765,0.01620671966528242,0.0036638359597915837,
2003-03-04,81825,27509,9499,23871,63249,084691,SILVER - COMMODITY EXCHANGE INC. ,4.6570000648498535,0.48124656278643446,-39378,4.579187510307295,18010,-3.1839920839975813,0.05260560146923783,0.09035884133160398,0.0036638359597915837,0.0045093210553655005,
2003-03-11,81943,28597,6577,22997,66325,084691,SILVER - COMMODITY EXCHANGE INC. ,4.677999973297119,0.5287577950526585,-43328,-4.827375496486404,22020,4.9007027192178425,0.04422202816775263,0.11400466253482686,0.0045093210553655005,-0.04831120851718018,
2003-03-18,83928,27518,14759,24724,57287,084691,SILVER - COMMODITY EXCHANGE INC. ,4.452000141143799,0.3879873224668764,-32563,13.13718072318563,12759,-11.30175853947256,0.13126287936984063,0.21905527828370036,-0.04831120851718018,-0.014824793946267567,
