,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,ZC_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2003-01-07,444380,76291,85431,214923,226698,002602,CORN - CHICAGO BOARD OF TRADE ,240.0,0.026497592150861875,-11775,,-9140,,,,,-0.03645833333333337,
2003-01-14,455158,73849,97908,227835,212616,002602,CORN - CHICAGO BOARD OF TRADE ,231.25,-0.03343674064830235,15219,6.07453080696701,-24059,-3.3572618029614296,0.06128718063984416,0.08686108863103105,-0.03645833333333337,0.0108108108108107,
2003-01-21,464844,74860,103682,232658,212143,002602,CORN - CHICAGO BOARD OF TRADE ,233.75,-0.04413308550825654,20515,1.1635519973284003,-28822,-1.046449804243801,0.011906448052050243,0.03800226277290498,0.0108108108108107,0.02032085561497321,
2003-01-28,460295,79509,99141,228629,217810,002602,CORN - CHICAGO BOARD OF TRADE ,238.5,-0.023504491684680478,10819,-2.0858610630663192,-19632,1.9770073400968928,0.02171853265507718,0.05144136579904842,0.02032085561497321,-0.0031446540880503138,
2003-02-04,467128,78635,100372,233665,222449,002602,CORN - CHICAGO BOARD OF TRADE ,237.75,-0.02401054957099553,11216,0.08624903594434004,-21737,-0.45731541728674,0.02121180231257975,0.011759316674766908,-0.0031446540880503138,0.01577287066246047,
2003-02-11,472896,86424,87942,232141,241207,002602,CORN - CHICAGO BOARD OF TRADE ,241.5,0.019171234267153878,-9066,-4.341850627665222,-1518,4.328363960199346,0.04284796809112957,0.11595723937006068,0.01577287066246047,-0.01345755693581785,
2003-02-18,474283,91453,87596,226435,234825,002602,CORN - CHICAGO BOARD OF TRADE ,238.25,0.017689860273296745,-8390,0.14294897821085398,3857,1.1366135471647043,0.026206477908338032,0.030019715273472625,-0.01345755693581785,-0.026232948583420734,
2003-02-25,467928,74377,107889,235163,203604,002602,CORN - CHICAGO BOARD OF TRADE ,232.0,-0.06744413670479218,31559,8.423030131798948,-33512,-7.8790511150515625,0.09104832405354095,0.20502452459592024,-0.026232948583420734,0.01724137931034475,
2003-03-04,455091,78188,120810,223166,188017,002602,CORN - CHICAGO BOARD OF TRADE ,236.0,-0.07723510243006344,35149,0.7672120497170505,-42622,-1.9468807166914566,0.0670844854967253,0.08408124704770903,0.01724137931034475,0.005296610169491567,
2003-03-11,432152,80976,108596,204748,186095,002602,CORN - CHICAGO BOARD OF TRADE ,237.25,-0.043163053740350614,18653,-3.6247695515841887,-27620,3.2964835604307714,0.05204135675961959,0.07913615934842698,0.005296610169491567,-0.03161222339304526,
2003-03-18,451271,83262,121700,221468,183812,002602,CORN - CHICAGO BOARD OF TRADE ,229.75,-0.0834443161647879,37656,4.397295396064347,-38438,-2.5032858808937597,0.04688857086458745,0.07508708931411677,-0.03161222339304526,-0.006528835690968404,
2003-03-25,450534,78848,128359,222657,176508,002602,CORN - CHICAGO BOARD OF TRADE ,228.25,-0.10243178095326878,46149,1.8820176789556609,-49511,-2.453736225017783,0.021276915561234077,0.05343931430887953,-0.006528835690968404,0.049288061336254074,
2003-04-01,432990,79127,113093,208380,178532,002602,CORN - CHICAGO BOARD OF TRADE ,239.5,-0.06893461742765422,29848,-3.618150905370072,-33966,3.450350029076607,0.04213102721032173,0.08087087711996671,0.049288061336254074,0.013569937369519725,
2003-04-08,416681,86766,77358,188859,197582,002602,CORN - CHICAGO BOARD OF TRADE ,242.75,0.020934479853893025,-8723,-8.90805792281577,9408,10.017321416198989,0.09981083787693334,0.2642757914747386,0.013569937369519725,-0.004119464469618972,
2003-04-15,415581,87138,67152,185698,207261,002602,CORN - CHICAGO BOARD OF TRADE ,241.75,0.051886395191310476,-21563,-3.081493996606517,19986,2.5386326710361162,0.03267516458460043,0.06855920668870309,-0.004119464469618972,-0.012409513960703222,
2003-04-22,409312,86263,66756,181194,204602,002602,CORN - CHICAGO BOARD OF TRADE ,238.75,0.05718864826831366,-23408,-0.4439567737697344,19507,-0.11526032229577388,0.018566807328225278,0.008306158058803154,-0.012409513960703222,-0.029319371727748678,
2003-04-29,397770,78732,86375,182392,176601,002602,CORN - CHICAGO BOARD OF TRADE ,231.75,-0.014558664554893531,5791,7.133677976702368,-7643,-6.6330818544288945,0.08133584777419059,0.16443881846317843,-0.029319371727748678,0.03775620280474645,
2003-05-06,399096,81119,93606,183191,180194,002602,CORN - CHICAGO BOARD OF TRADE ,240.5,-0.00750947140537615,2997,-0.7024159690273274,-12487,-1.2177891746486664,0.012086354692681316,0.055046501645442836,0.03775620280474645,0.05093555093555091,
2003-05-13,409096,102590,43313,179897,230757,002602,CORN - CHICAGO BOARD OF TRADE ,252.75,0.12432289731505564,-50860,-13.494748130775552,59277,17.981638503016818,0.1311493373983938,0.49186103095892475,0.05093555093555091,-0.023738872403560873,
2003-05-20,417280,107173,33903,187555,244017,002602,CORN - CHICAGO BOARD OF TRADE ,246.75,0.13530962423312884,-56462,-1.3693607368441636,73270,3.4204685452803254,0.04846931682314886,0.09918767189316396,-0.023738872403560873,-0.019250253292806496,
2003-05-27,408284,93115,32479,188364,235267,002602,CORN - CHICAGO BOARD OF TRADE ,242.0,0.11487836897845617,-46903,2.2907879601226995,60636,-3.027703220858896,0.022564448777355764,0.12327021991496409,-0.019250253292806496,-0.008264462809917328,
2003-06-03,400271,87085,35124,184966,228989,002602,CORN - CHICAGO BOARD OF TRADE ,240.0,0.1099829865266282,-44023,0.7053913452400781,51961,-2.1247464999853043,0.023374521385174717,0.07098495200844455,-0.008264462809917328,-0.0031250000000000444,
2003-06-10,387649,80697,41092,184689,211339,002602,CORN - CHICAGO BOARD OF TRADE ,239.25,0.06874775892624513,-26650,4.34030944035416,39605,-3.0869086194103494,0.04526700132313877,0.10145415431607124,-0.0031250000000000444,0.011494252873563315,
2003-06-17,388240,78344,33189,185783,216976,002602,CORN - CHICAGO BOARD OF TRADE ,242.0,0.08034463218627654,-31193,-1.1719364682999311,45155,1.4317075498711462,0.016712227411429664,0.09195484744425417,0.011494252873563315,-0.011363636363636354,
2003-06-24,379055,65865,38491,188340,202496,002602,CORN - CHICAGO BOARD OF TRADE ,239.25,0.03734550395061403,-14156,4.388264990727385,27374,-4.579899031526891,0.04359117379156475,0.17038790294760245,-0.011363636363636354,-0.040752351097178674,
2003-07-01,371901,56909,74033,196498,158756,002602,CORN - CHICAGO BOARD OF TRADE ,229.5,-0.1014839970852458,37742,13.691416812863569,-17124,-11.73919352072918,0.14608702505812743,0.33982984832979485,-0.040752351097178674,0.002178649237472685,0.006654229778560256
2003-07-08,369771,59241,85962,199959,146266,002602,CORN - CHICAGO BOARD OF TRADE ,230.0,-0.14520608701060927,53693,4.289044665112489,-26721,-2.580525462421451,0.04607119647627988,0.0982142242240174,0.002178649237472685,-0.09347826086956523,0.0010297736011836073
2003-07-15,376954,57997,103021,214705,139161,002602,CORN - CHICAGO BOARD OF TRADE ,208.5,-0.20040641563692121,75544,5.90933307371319,-45024,-4.949820294182075,0.061749362753132545,0.11367052130817673,-0.09347826086956523,0.0,-0.006164376014462993
2003-07-22,392252,62336,111683,224705,149309,002602,CORN - CHICAGO BOARD OF TRADE ,208.5,-0.19221316908517994,75396,-0.039262085028942524,-49347,-1.1468242809467468,0.05386964124337592,0.07471023279067228,0.0,0.007194244604316502,-0.012579851637591163
2003-07-29,403886,57555,122729,240101,152908,002602,CORN - CHICAGO BOARD OF TRADE ,210.0,-0.2158851755198249,87193,3.007505379195007,-65174,-4.0349061317724315,0.04833222648845192,0.08778926582503162,0.007194244604316502,-0.0023809523809523725,-0.019356695766998954
2003-08-05,407895,57063,125999,240702,150171,002602,CORN - CHICAGO BOARD OF TRADE ,209.5,-0.22194682455043577,90531,0.8264708358299124,-68936,-0.9314509539820641,0.008539858214816577,0.02055041461362817,-0.0023809523809523725,0.04892601431980914,-0.025891861211625948
2003-08-12,395194,58425,96387,234904,167594,002602,CORN - CHICAGO BOARD OF TRADE ,219.75,-0.17032141176232432,67310,-5.692886649750548,-37962,7.59362090734135,0.05769221213521558,0.20007492959202128,0.04892601431980914,0.014789533560864543,-0.030405284666335273
2003-08-19,378585,59667,68755,219714,185441,002602,CORN - CHICAGO BOARD OF TRADE ,223.0,-0.09052920744350675,34273,-8.359691695724125,-9088,7.3062850144486005,0.08154163221483136,0.2248368659575462,0.014789533560864543,0.02130044843049328,-0.03222722172018896
