,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,ZM_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2003-01-07,148750,25548,14631,77259,103606,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,171.39999389648438,0.17712268907563025,-26347,,10917,,,,,-0.08284712633547797,
2003-01-14,152679,14971,19443,89511,97022,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,157.1999969482422,0.04919471571073952,-7511,12.662857142857142,-4472,-10.345546218487394,0.10097945135713252,0.4471726622886035,-0.08284712633547797,0.0636132327871004,
2003-01-21,159266,15192,21329,94762,100633,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,167.1999969482422,0.036862858362739066,-5871,1.0741490316284492,-6137,-1.0905232546715657,0.04535428235113488,0.05769283425974097,0.0636132327871004,0.031100460784409423,
2003-01-28,160971,18949,20479,94337,103820,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,172.39999389648438,0.058911232458020386,-9483,-2.267904009644243,-1530,2.8926450089786897,0.01822797075046554,0.11684589631733794,0.031100460784409423,-0.0052203824150061084,
2003-02-04,162950,20128,18096,92297,107877,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,171.5,0.09561215096655416,-15580,-3.7876387672313645,2032,2.2128209429027588,0.030458501104039484,0.09318752616157389,-0.0052203824150061084,0.01807583733828344,
2003-02-11,166926,20512,16617,93009,113567,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,174.60000610351562,0.12315636869031786,-20558,-3.0549248235655106,3895,1.1432954894139307,0.03099101541321354,0.05017641196908077,0.01807583733828344,0.009736522845447793,
2003-02-18,171817,28412,13184,90041,120581,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,176.3000030517578,0.17774725434619393,-30540,-5.979895282939745,15228,6.789235948863569,0.04739295989972558,0.2724540821232811,0.009736522845447793,0.012478711912423002,
2003-02-25,171611,36583,13067,82122,118292,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,178.5,0.2107673750517158,-36170,-3.276742115157406,23516,4.823736882846284,0.05093456544951949,0.16692849949647534,0.012478711912423002,-0.009523792427127087,
2003-03-04,168174,39360,11151,77753,118326,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,176.8000030517578,0.24125608001236815,-40573,-2.5656863487771764,28209,2.7346731852853257,0.022455234879818847,0.09291045514838352,-0.009523792427127087,-0.010181012560451563,
2003-03-11,163188,30018,12070,81018,114646,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,175.0,0.20606907370639999,-33628,4.129651432444968,17948,-6.101418768656273,0.0354945212200507,0.24379870747006271,-0.010181012560451563,-0.007999965122767905,
2003-03-18,158006,28083,9103,79055,112264,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,173.60000610351562,0.21017556295330558,-33209,0.25675907542221243,18980,0.6323994411353776,0.022710760562202396,0.13182380465766685,-0.007999965122767905,-0.017281105383205708,
2003-03-25,147266,21074,8335,77974,102217,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,170.60000610351562,0.16462048266402293,-24243,5.674468058175006,12739,-3.949850005695986,0.06175669151067478,0.2644428576286171,-0.017281105383205708,0.0017584277973983209,
2003-04-01,148493,20168,8517,79837,104270,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,170.89999389648438,0.16453974261412996,-24433,-0.12901823910474924,11651,-0.7387991797156167,0.021270239588934696,0.0379292313055604,0.0017584277973983209,0.03627859817705237,
2003-04-08,154200,24265,9244,77222,107111,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,177.10000610351562,0.19383268482490273,-29889,-3.674247270915127,15021,2.269467247614366,0.029598606869090178,0.14396132382345042,0.03627859817705237,0.04065497854378264,
2003-04-15,166680,35327,10140,72918,115631,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,184.3000030517578,0.256257499400048,-42713,-8.316472114137484,25187,6.592736705577172,0.06801415016786087,0.26300393692128354,0.04065497854378264,0.006511106502288921,
2003-04-22,171392,41480,10348,68690,117473,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,185.5,0.28462822068707994,-48783,-3.6417086633069355,31132,3.566714662826974,0.03260583467176614,0.12273288569885005,0.006511106502288921,0.042587568175117996,
2003-04-29,173640,43730,10164,68689,118841,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,193.3999938964844,0.288827459110804,-50152,-0.7987537341299478,33566,1.4201362957430919,0.0073001653068842315,0.04516272683415594,0.042587568175117996,0.012409561690875703,
2003-05-06,167324,47867,8101,62276,119423,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,195.8000030517578,0.34153498601515625,-57147,-4.0284496659755815,39766,3.5706058511863628,0.038497735265466515,0.11077758719268153,0.012409561690875703,0.010725182900898522,
2003-05-13,164091,46146,9477,61873,116676,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,197.8999938964844,0.3339793163549494,-54803,1.4008749492003538,36669,-1.8509000502020034,0.017642215862312308,0.05567840641461266,0.010725182900898522,-0.008084845346501113,
2003-05-20,161625,47010,7671,59506,117549,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,196.3000030517578,0.3591214230471771,-58043,-1.9745141415434118,39339,1.6271459129385526,0.018299398491994013,0.04882866077796675,-0.008084845346501113,-0.011207319990016229,
2003-05-27,158746,44632,7080,59266,114771,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,194.1000061035156,0.34964660526879415,-55505,1.5703016241299304,37552,-1.1056457849961332,0.01734114010239202,0.05741413985148515,-0.011207319990016229,-0.03967033469810766,
2003-06-03,153361,42156,6827,56029,110199,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,186.3999938964844,0.35321887572459754,-54170,0.8409660715860557,35329,-1.4003502450455445,0.04697764516206656,0.05571320662270584,-0.03967033469810766,0.04399148323784274,
2003-06-10,152932,47535,5788,53316,110234,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,194.6000061035156,0.3721784845552272,-56918,-1.7918506008698432,41747,4.184897072919451,0.016802201161724244,0.12036081990885734,0.04399148323784274,-0.032888021349130825,
2003-06-17,149947,43285,6271,54122,109371,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,188.1999969482422,0.3684568547553469,-55249,1.0913347108518818,37014,-3.0948395365260377,0.010208388126708788,0.09550811203486964,-0.032888021349130825,0.035600409441477465,
2003-06-24,161677,43373,5932,64640,122108,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,194.8999938964844,0.35544944549935986,-57468,-1.4798562158629383,37441,0.2847672844405023,0.12452609934242936,0.00866037927187912,0.035600409441477465,-0.02616721910948494,
2003-07-01,157033,35382,8108,74100,119567,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,189.8000030517578,0.28953786783669677,-45467,7.422824520494567,27274,-6.288464036319328,0.061967191106383636,0.23377787997240745,-0.02616721910948494,-0.01369866207434467,0.23318097344970298
2003-07-08,149976,24393,8190,75356,106212,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,187.1999969482422,0.2057395850002667,-30856,9.30441372195653,16203,-7.050110486330899,0.08047122841029256,0.3397784120553663,-0.01369866207434467,-0.02724354128134232,0.23216462572935348
2003-07-15,150772,24929,8467,76717,106428,026603,SOYBEAN MEAL - CHICAGO BOARD OF TRADE ,182.1000061035156,0.1970591356485289,-29711,0.7634554862111271,16462,0.17269429775430736,0.008610663681782194,0.024344232842256557,-0.02724354128134232,-0.0318506472122837,0.2309108582264669
