,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,ZS_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2003-01-07,212793,77709,7168,68961,153879,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,585.25,0.3990638789809815,-84918,,70541,,,,,-0.051687313114053834,
2003-01-14,195164,53950,8807,77322,135239,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,555.0,0.29676067307495235,-57917,12.688857246244003,45143,-11.935542992485654,0.12702706517188006,0.40470385773698553,-0.051687313114053834,0.0018018018018017834,
2003-01-21,196991,48384,13202,85666,130626,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,556.0,0.22823377717763757,-44960,6.639031788649547,35182,-5.1039126068332274,0.059905128252547485,0.16174130484200955,0.0018018018018017834,0.031025179856115193,
2003-01-28,196797,58412,9469,78091,134644,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,573.25,0.28736718547538836,-56553,-5.885040433319288,48943,6.985598326827114,0.05449502902672339,0.202722411278561,0.031025179856115193,-0.004797208896641925,
2003-02-04,202453,55789,12604,81218,134094,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,570.5,0.2611766681649568,-52876,1.8684227909978302,43185,-2.925857609618033,0.017077543286022144,0.08418990247539952,-0.004797208896641925,0.002629272567922891,
2003-02-11,209314,58390,12591,83236,138235,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,572.0,0.2627583439234834,-54999,-1.0486384494178895,45799,1.291163875072239,0.027809510048719698,0.036826756455953,0.002629272567922891,0.0034965034965035446,
2003-02-18,223540,62206,13852,93062,145295,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,574.0,0.23366287912677822,-52233,1.3214596252520137,48354,1.2206541368470336,0.0708433148596433,0.06675168950011832,0.0034965034965035446,0.003919860627177751,
2003-02-25,231839,73362,13088,90752,154376,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,576.25,0.2744318255340991,-63624,-5.095732307417017,60274,5.332378992574037,0.04646959955615026,0.13788316946211682,0.003919860627177751,-0.006073752711496794,
2003-03-04,231179,77109,14182,89726,152141,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,572.75,0.269985595577453,-62415,0.5214825805839397,62927,1.1443286073525163,0.013482616479304741,0.05302822841243934,-0.006073752711496794,-0.008729812309035356,
2003-03-11,223717,61577,13261,96209,148412,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,567.75,0.2333439121747565,-52203,4.417356247756068,48316,-6.320210745785733,0.04174621148634009,0.21984820545712072,-0.008729812309035356,0.011008366358432387,
2003-03-18,229911,65493,13348,96754,151048,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,574.0,0.23615225021856284,-54294,-0.9346629894017888,52145,1.7115373440552126,0.01283686168796055,0.050773074922946186,0.011008366358432387,-0.0008710801393728707,
2003-03-25,224338,63667,13727,94861,146901,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,573.5,0.23197140029776497,-52040,0.9803793641887514,49940,-0.9590667693150827,0.024983247987690374,0.028490580665167842,-0.0008710801393728707,0.00043591979075841003,
2003-04-01,225346,59146,12798,96505,144447,005602,SOYBEANS - CHICAGO BOARD OF TRADE ,573.75,0.21274839580023608,-47942,1.8267079139512699,46348,-1.6011553994419134,0.017007536770809125,0.0757533637273435,0.00043591979075841003,0.04749455337690622,
