,Open_Interest_All,NonComm_Positions_Long_All,NonComm_Positions_Short_All,Comm_Positions_Long_All,Comm_Positions_Short_All,CFTC_Contract_Market_Code,Market_and_Exchange_Names,ZW_Close,HP,NetLong_Comm,Q_Comm,NetLong_NonComm,Q_NonComm,PT_Comm,PT_NonComm,Ret,Ret_Lead,HP_Smooth_52w
2003-01-07,88185,18709,21040,38271,42634,001602,WHEAT - CHICAGO BOARD OF TRADE ,327.75,0.04947553438793446,-4363,,-2331,,,,,-0.041189931350114395,
2003-01-14,90673,20039,21305,40623,45402,001602,WHEAT - CHICAGO BOARD OF TRADE ,314.25,0.05270587716299229,-4779,-0.4717355559335488,-1266,1.2076883823779556,0.05951758209822726,0.03857875386996904,-0.041189931350114395,0.015910898965791676,
2003-01-21,90059,19944,21970,39560,43794,001602,WHEAT - CHICAGO BOARD OF TRADE ,319.25,0.04701362440178106,-4234,0.6010609553009164,-2026,-0.8381767450067826,0.03204405307483744,0.01813236627379873,0.015910898965791676,-0.007047768206734584,
2003-01-28,98056,26425,24996,38946,46171,001602,WHEAT - CHICAGO BOARD OF TRADE ,317.0,0.07368238557558945,-7225,-3.3211561309808015,1429,3.8363739326441557,0.03513986630167887,0.1848855525952432,-0.007047768206734584,0.02208201892744488,
2003-02-04,97392,26731,24477,37402,46273,001602,WHEAT - CHICAGO BOARD OF TRADE ,324.0,0.09108551010349926,-8871,-1.6786326180957818,2254,0.841355959859672,0.01967134747535106,0.016110763943133884,0.02208201892744488,0.0185185185185186,
2003-02-11,103192,26682,24445,41861,48271,001602,WHEAT - CHICAGO BOARD OF TRADE ,330.0,0.062117218389022406,-6410,2.526901593560046,2237,-0.01745523246262527,0.0716393733635113,0.0015842901011207387,0.0185185185185186,0.016666666666666607,
2003-02-18,104043,26240,22691,41306,49268,001602,WHEAT - CHICAGO BOARD OF TRADE ,335.5,0.07652605172861221,-7962,-1.5039925575626019,3549,1.271416388867354,0.01713516020049904,0.04487952422799452,0.016666666666666607,-0.04470938897168408,
2003-02-25,99004,21972,25521,44445,43076,001602,WHEAT - CHICAGO BOARD OF TRADE ,320.5,-0.013827724132358289,1369,8.968407293138414,-3549,-6.822179291254578,0.10661441254099016,0.14945360368896468,-0.04470938897168408,0.018720748829953227,
2003-03-04,87103,17412,26140,40646,34809,001602,WHEAT - CHICAGO BOARD OF TRADE ,326.5,-0.0670126172462487,5837,4.512948971758717,-8728,-5.231101773665711,0.1599098800609635,0.11891531961792799,0.018720748829953227,-0.045176110260336855,
2003-03-11,91373,17472,31158,44120,35236,001602,WHEAT - CHICAGO BOARD OF TRADE ,311.75,-0.09722784630032942,8884,3.4981573539372923,-13686,-5.69211163794588,0.04915822370079137,0.10442113921447665,-0.045176110260336855,-0.05052125100240579,
2003-03-18,97889,18302,35216,48350,36149,001602,WHEAT - CHICAGO BOARD OF TRADE ,296.0,-0.1246411752086547,12201,3.630175215873398,-16914,-3.5327722631411906,0.060864625616871205,0.09133375686684854,-0.05052125100240579,-0.05067567567567566,
2003-03-25,100067,18940,37432,50121,37348,001602,WHEAT - CHICAGO BOARD OF TRADE ,281.0,-0.12764447819960625,12773,0.5843353185751208,-18492,-1.6120299522929031,0.03395488687420686,0.05062797133328603,-0.05067567567567566,0.007117437722419906,
2003-04-01,102639,20076,39388,50522,35976,001602,WHEAT - CHICAGO BOARD OF TRADE ,283.0,-0.14172000896345444,14546,1.7718128853668043,-19312,-0.8194509678515394,0.020497583759162063,0.051997847437104804,0.007117437722419906,0.0017667844522968323,
2003-04-08,97659,21364,39751,43049,30876,001602,WHEAT - CHICAGO BOARD OF TRADE ,283.5,-0.12464800991204088,12173,-2.311986671732967,-18387,0.9012168863687293,0.17007778153533987,0.027014644522621287,0.0017667844522968323,0.008818342151675429,
2003-04-15,98140,23631,39928,40069,29943,001602,WHEAT - CHICAGO BOARD OF TRADE ,286.0,-0.10317913185245567,10126,-2.0960689746976726,-16297,2.1400997347914683,0.05589041878535108,0.038452461492471564,0.008818342151675429,0.00786713286713292,
2003-04-22,98009,23162,37173,40105,33469,001602,WHEAT - CHICAGO BOARD OF TRADE ,288.25,-0.06770806762644246,6636,-3.556144283676381,-14011,2.3293254534338703,0.0484138418463044,0.05343498798375736,0.00786713286713292,-0.028620988725065022,
2003-04-29,102280,22835,42650,45487,33150,001602,WHEAT - CHICAGO BOARD OF TRADE ,280.0,-0.12061986703167775,12337,5.816812741686988,-19815,-5.921905131161424,0.07249767920953241,0.08863098419485378,-0.028620988725065022,0.02499999999999991,
2003-05-06,97476,24103,37879,38804,32663,001602,WHEAT - CHICAGO BOARD OF TRADE ,287.0,-0.0630001231072264,6141,-6.057880328509973,-13776,5.904380132968322,0.10032602459876587,0.09743151237456035,0.02499999999999991,0.13588850174216027,
2003-05-13,87960,26990,20670,33013,40477,001602,WHEAT - CHICAGO BOARD OF TRADE ,326.0,0.08485675306957709,-7464,-13.957281792441217,6320,20.616356846813574,0.18512722819431215,0.42165337809483844,0.13588850174216027,0.027607361963190247,
2003-05-20,104780,36394,16736,39911,60572,001602,WHEAT - CHICAGO BOARD OF TRADE ,335.0,0.19718457720939112,-20661,-15.003410641200546,19658,15.163710777626193,0.2686325050008459,0.2510446075663467,0.027607361963190247,-0.02238805970149249,
2003-05-27,104174,33768,16344,41544,58190,001602,WHEAT - CHICAGO BOARD OF TRADE ,327.5,0.15979035075930653,-16646,3.8318381370490555,17424,-2.1320862760068717,0.04025708384302244,0.060225095785440615,-0.02238805970149249,-0.02442748091603053,
2003-06-03,102262,30297,15861,41887,56994,001602,WHEAT - CHICAGO BOARD OF TRADE ,319.5,0.14772838395493929,-15107,1.4773359955459135,14436,-2.868278073223645,0.015564162983788595,0.08566229039386455,-0.02442748091603053,0.04460093896713624,
2003-06-10,102769,32034,14710,40754,57629,001602,WHEAT - CHICAGO BOARD OF TRADE ,333.75,0.16420321303116697,-16875,-1.728892452719485,17324,2.8241184408675757,0.01797058434892207,0.06178333048091734,0.04460093896713624,-0.05093632958801497,
2003-06-17,96739,28783,14789,39173,52004,001602,WHEAT - CHICAGO BOARD OF TRADE ,316.75,0.1326352350138,-12831,3.935038776284677,13994,-3.240276737148362,0.07903308948528685,0.07642522721013495,-0.05093632958801497,-0.04577742699289655,
