Period,HighHP_HighQ,HighHP_LowQ,LowHP_HighQ,LowHP_LowQ
-10to0,-0.013258634511642275,0.0166127570789373,-0.013388906948694053,0.014857569930056675
11to20,0.0019779253388608033,0.0004314625776539419,0.0011345102279552834,0.0019602779442638428
1to4,0.0011823933319806,0.0008371665309834293,0.0010666053499131507,0.001023257572482701
1to40,0.01407654080095191,0.003949387102900645,0.010335552825161699,0.007870676636700286
21to40,0.007428676801581669,0.00206934759308502,0.006193843796212162,0.0039031729028878976
5to10,0.0016067866978684748,0.0013071423751579616,0.0018054280948380326,0.0016824245423394848
week1,0.001796531460518071,0.0004259597608681999,0.0011049380530654838,0.0006218724124746568
week1to8,0.01611379588033854,0.007519663266430648,0.014256245013328544,0.00993158034025918
week2to4,0.007526061971006623,0.0011960270730445488,0.004722269507130319,0.003414368342441502
week5to8,0.005461485052587751,0.005727928234296338,0.007186887427979895,0.004730213697908806
