Period,HighHP_HighQ,HighHP_LowQ,LowHP_HighQ,LowHP_LowQ
-10to0,-13.36735251126283,17.782550366694764,-14.856115352440147,16.052364962782274
11to20,2.1215761474921586,0.4860298038619656,1.3473133009784788,2.3599917008135636
1to4,2.0621830881519667,1.4740950431917248,2.0388299155986864,1.9208126810670834
1to40,6.3789728188272266,1.8513711012176024,5.071547393654162,3.839808477811237
21to40,5.0092058648579725,1.3629446106079584,4.460138675927261,2.7572310590082623
5to10,2.075221339309829,1.6856081892858237,2.4295165981491302,2.3563317942193294
week1,2.141569401979113,0.5322856383750137,1.4039287189259235,0.822703877335219
week1to8,6.080169904317969,2.8598496893294225,6.126837969103749,4.0610757857615765
week2to4,4.730912127983664,0.7894868646795274,3.326687210061336,2.364374776767499
week5to8,3.032122690472996,3.15560698052231,4.401099122487382,2.8284515536548755
